team,L3,Year
Georgia,38.5,38.5
Kentucky,40.5,40.5
Alabama,42.7,42.7
LSU,44.0,44.0
USC,51.5,51.5
San Jose St,52.5,52.5
Auburn,53.0,53.0
TCU,58.0,58.0
Florida,60.5,60.5
Indiana,63.0,63.0
Louisville,63.0,63.0
Utah,64.0,64.0
Iowa,64.5,64.5
Michigan,65.3,65.3
Tennessee,68.5,68.5
S Florida,68.5,68.5
Penn St,70.5,70.5
Colorado,71.0,71.0
Arkansas,71.0,71.0
BYU,72.5,72.5
Tulane,77.5,77.5
Maryland,78.0,78.0
UConn,79.5,79.5
Troy,84.0,84.0
Army,84.0,84.0
Nebraska,86.3,86.3
Oklahoma,87.0,87.0
Wisconsin,87.7,87.7
Miami,89.0,89.0
Texas,91.0,91.0
California,93.0,93.0
Buffalo,94.0,94.0
Pittsburgh,94.5,94.5
Vanderbilt,98.7,98.7
Minnesota,100.0,100.0
New Mexico,100.0,100.0
Wake Forest,100.5,100.5
Boise St,103.0,103.0
Kansas St,105.0,105.0
Oklahoma St,106.5,106.5
South Carolina,110.0,110.0
Kansas,111.3,111.3
Louisiana Tech,114.0,114.0
Notre Dame,115.0,115.0
Baylor,116.5,116.5
Arizona,119.7,119.7
E Carolina,119.7,119.7
Navy,120.5,120.5
Arizona St,124.0,124.0
Marshall,126.0,126.0
Oregon,128.0,128.0
Mississippi St,128.0,128.0
Nevada,128.0,128.0
Fresno St,130.0,130.0
Ohio,130.7,130.7
Arkansas St,131.0,131.0
Missouri,131.5,131.5
W Michigan,133.7,133.7
Mississippi,134.5,134.5
Middle Tenn,137.3,137.3
Michigan St,137.3,137.3
North Carolina,140.0,140.0
Duke,142.0,142.0
Texas Tech,142.5,142.5
Toledo,142.5,142.5
West Virginia,143.0,143.0
Boston College,144.0,144.0
Rice,144.7,144.7
Stanford,148.7,148.7
Wyoming,150.0,150.0
Northwestern,150.5,150.5
Bowling Green,151.0,151.0
Colorado St,154.0,154.0
Ohio St,154.5,154.5
UNLV,155.7,155.7
Air Force,156.0,156.0
Illinois,156.5,156.5
UCF,158.0,158.0
Georgia Tech,159.5,159.5
N Illinois,162.5,162.5
NC State,168.5,168.5
Oregon St,168.7,168.7
Memphis,169.0,169.0
N Texas,172.0,172.0
UCLA,180.5,180.5
Rutgers,181.5,181.5
Iowa St,182.5,182.5
Florida Intl,184.5,184.5
Clemson,187.5,187.5
UTEP,192.5,192.5
SMU,194.0,194.0
Kent St,195.0,195.0
Southern Miss,195.3,195.3
Cincinnati,197.0,197.0
San Diego St,199.0,199.0
Temple,201.7,201.7
C Michigan,205.5,205.5
Florida Atlantic,212.7,212.7
Virginia Tech,218.0,218.0
Washington,219.3,219.3
Idaho,220.0,220.0
Miami OH,223.5,223.5
Tulsa,224.0,224.0
Ball St,232.5,232.5
Syracuse,233.0,233.0
UAB,234.0,234.0
E Michigan,235.5,235.5
Texas A&M,235.5,235.5
Hawai'i,236.0,236.0
UL Monroe,252.0,252.0
Utah St,257.7,257.7
Akron,271.0,271.0
W Kentucky,289.0,289.0
Virginia,298.5,298.5
Purdue,306.0,306.0
Louisiana,310.0,310.0
Washington St,329.3,329.3
New Mexico St,330.0,330.0
Houston,379.5,379.5
