team,L3,Year
USC,11.3,9.0
TCU,13.0,11.7
Florida,13.7,12.3
Boise St,20.3,13.1
Iowa,9.0,13.8
Ohio St,12.3,14.3
Alabama,20.7,14.3
Penn St,21.0,14.8
West Virginia,18.7,16.7
Tennessee,11.0,16.8
Utah,18.3,16.9
Virginia Tech,11.0,17.5
Auburn,23.3,17.8
Wake Forest,17.7,18.3
Texas,12.3,18.6
Clemson,14.3,18.9
Ball St,29.3,19.0
N Illinois,15.7,19.3
Vanderbilt,19.0,19.6
Mississippi,15.7,19.8
Boston College,22.3,19.8
California,13.3,19.9
Rutgers,13.3,20.4
North Carolina,30.7,20.7
E Carolina,23.3,21.1
S Florida,13.3,21.1
Cincinnati,18.0,21.2
UConn,23.7,21.2
Northwestern,18.0,21.3
Arizona,16.7,21.3
Pittsburgh,9.3,21.5
South Carolina,39.3,21.8
Michigan St,26.7,22.1
Georgia Tech,34.3,22.1
Notre Dame,27.7,22.2
BYU,34.3,22.3
San Jose St,28.7,22.6
Navy,9.7,22.8
New Mexico,20.0,22.8
Kentucky,26.0,23.0
Oregon St,27.3,23.1
Troy,14.0,23.1
Temple,33.0,23.1
Bowling Green,17.7,23.2
Florida St,20.3,23.2
Army,34.0,23.3
Air Force,38.7,23.5
Louisiana Tech,25.3,23.5
Arizona St,13.3,23.5
Virginia,19.3,23.6
Maryland,33.3,23.8
Southern Miss,14.0,24.1
Georgia,23.3,24.8
Duke,24.3,24.9
Minnesota,44.0,24.9
Middle Tenn,21.7,24.9
Arkansas St,25.7,25.0
LSU,21.7,25.1
Miami,34.3,25.6
Wisconsin,31.3,25.8
Mississippi St,35.0,26.0
UCF,16.7,26.3
W Michigan,33.3,26.4
Oklahoma,27.7,26.4
Purdue,17.7,26.5
NC State,22.3,26.5
Ohio,32.0,26.9
Illinois,26.7,27.1
Stanford,39.0,27.4
Buffalo,28.7,28.2
Oregon,38.0,28.2
Florida Intl,30.3,28.3
Nebraska,26.7,28.5
Memphis,25.0,28.6
Tulsa,23.0,28.7
Florida Atlantic,33.0,28.7
Michigan,23.0,28.9
UCLA,23.0,29.0
Missouri,41.7,29.1
Wyoming,20.0,29.1
Marshall,34.3,29.3
Oklahoma St,40.0,29.3
Texas Tech,46.7,29.5
Colorado,31.3,29.7
Hawai'i,29.3,29.8
Kansas,31.0,30.1
W Kentucky,21.7,30.4
Fresno St,37.0,31.1
Colorado St,20.3,31.1
Akron,39.7,31.3
Toledo,26.3,31.4
Baylor,33.7,31.5
Louisville,42.0,31.6
C Michigan,37.0,31.8
Arkansas,31.7,31.8
UNLV,25.3,32.6
UL Monroe,36.7,32.6
UAB,13.7,33.2
Miami OH,38.0,33.2
Houston,40.3,33.3
Rice,22.0,33.3
Louisiana,38.7,33.7
Syracuse,30.7,33.7
Nevada,38.0,33.9
Kent St,33.7,34.3
Tulane,47.3,34.5
Utah St,32.0,34.7
New Mexico St,35.3,36.3
UTEP,35.0,37.0
Texas A&M,52.0,37.4
Iowa St,39.3,37.5
San Diego St,41.7,37.9
Kansas St,42.3,38.2
Indiana,50.3,38.2
SMU,31.7,38.4
Washington,30.3,38.6
E Michigan,46.0,38.8
Idaho,41.3,44.2
Washington St,22.7,46.8
N Texas,43.7,47.5
