team,L3,Year
Texas Tech,310.7,455.3
Washington St,429.7,381.9
California,340.0,361.2
Oklahoma St,375.0,358.6
E Carolina,348.0,353.6
Clemson,442.7,348.2
W Kentucky,335.3,344.2
Louisiana Tech,326.7,341.2
Toledo,352.0,340.7
Oklahoma,299.7,338.1
Mississippi,349.3,327.1
UCLA,310.0,316.0
Purdue,316.7,315.7
Boise St,301.3,314.8
Middle Tenn,258.3,313.4
Louisville,270.3,313.2
E Michigan,371.7,312.4
Syracuse,265.3,309.1
Southern Miss,311.3,306.8
Indiana,333.3,302.9
Houston,234.0,300.9
TCU,217.0,298.4
Memphis,331.3,297.3
North Carolina,320.0,288.4
C Michigan,244.3,283.2
Missouri,275.0,280.8
New Mexico St,217.7,278.4
Florida St,284.0,276.0
Washington,287.3,275.7
Miami,290.7,272.2
West Virginia,248.3,272.1
Baylor,266.7,271.9
Troy,303.7,271.5
NC State,323.7,270.9
USC,275.7,266.8
Northwestern,295.7,264.9
Texas,284.3,264.1
Oregon,322.0,263.9
Idaho,285.7,262.4
Tulsa,292.3,259.1
Virginia Tech,304.7,258.9
Arizona St,283.7,258.8
Arkansas,214.3,255.3
Notre Dame,233.7,254.8
Colorado,169.3,252.9
Cincinnati,179.3,251.9
Akron,241.0,250.7
Georgia St,257.3,250.2
Virginia,211.7,249.9
SMU,249.0,245.0
Ohio St,301.0,244.4
W Michigan,282.7,243.3
Penn St,275.3,241.6
Marshall,183.3,238.3
Utah St,249.0,238.2
Iowa St,239.7,238.1
S Alabama,208.7,236.3
Michigan St,220.7,235.2
Temple,207.7,234.4
Alabama,222.7,234.1
S Florida,222.3,233.1
Florida Intl,282.7,232.8
Duke,231.0,232.3
UMass,277.0,231.8
Michigan,244.7,231.5
Texas A&M,253.3,231.1
Ball St,259.7,229.3
Bowling Green,239.3,229.2
Florida,187.0,225.4
Colorado St,282.7,225.4
Fresno St,224.0,225.1
N Illinois,206.3,225.1
UConn,172.3,224.3
Wyoming,289.7,223.8
Nevada,308.0,221.0
Arkansas St,273.7,220.9
San Jose St,237.3,220.1
Old Dominion,203.7,219.6
Kansas,194.3,218.2
Tennessee,171.7,216.9
Pittsburgh,291.0,216.7
Hawai'i,155.0,214.9
Nebraska,165.3,214.8
Ohio,202.0,214.8
UL Monroe,211.3,214.3
Utah,212.7,212.2
South Carolina,211.3,210.8
Miami OH,166.0,210.5
Texas St,172.7,205.4
Georgia,198.7,204.6
Louisiana,194.7,202.6
N Texas,193.7,201.0
Rice,241.7,197.2
Buffalo,213.7,195.0
UTSA,143.0,194.9
BYU,160.7,194.0
Mississippi St,156.7,192.2
Florida Atlantic,210.3,192.2
UCF,151.7,186.6
UTEP,202.7,185.9
Arizona,133.0,183.2
Wisconsin,116.3,181.2
Auburn,133.0,178.6
App State,167.3,178.0
Maryland,223.3,176.9
Kentucky,173.0,176.3
LSU,151.0,176.1
Charlotte,148.0,173.4
Oregon St,232.0,172.0
Iowa,141.0,168.3
UNLV,207.3,166.4
Vanderbilt,194.0,166.2
Minnesota,174.3,163.6
Kansas St,136.3,163.3
Wake Forest,148.0,163.2
Stanford,140.7,155.0
Georgia So,160.7,154.0
Illinois,132.3,150.3
Rutgers,173.3,141.2
Air Force,113.7,140.7
Boston College,139.3,139.0
Georgia Tech,160.7,138.7
Navy,152.7,133.5
Tulane,157.7,128.7
San Diego St,85.7,125.0
Kent St,92.0,120.3
New Mexico,112.7,102.4
Army,80.7,76.4
