f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
52.400000000000006,46.3,73.40000000000003,-42.39999999999998,5.400000000000002,-4.799999999999997,0.19999999999999973,0.19999999999999996,0.0,7.6000000000000005,1.2999999999999998,0
-105.0,-49.0,-138.0,-5.0,7.0,-1.0,0.0,0.0,-40.0,2.4000000000000004,2.5999999999999996,1
41.5,44.80000000000001,11.800000000000011,127.80000000000001,18.0,11.0,-0.5,-0.5,-13.600000000000001,9.5,3.1999999999999993,0
100.69999999999999,-54.8,-28.49999999999997,-79.30000000000001,7.100000000000001,-13.900000000000002,-0.9,-0.19999999999999996,-20.0,26.900000000000002,12.2,1
21.700000000000017,42.70000000000002,-21.5,29.0,-9.600000000000001,12.399999999999999,-0.10000000000000009,0.0,0.0,-19.2,-4.4,1
72.9,-1.2000000000000028,-72.9,2.0999999999999943,-6.300000000000001,0.0,-0.7,0.10000000000000009,0.0,-0.40000000000000213,3.3000000000000007,0
-23.099999999999994,-33.69999999999999,-7.800000000000011,-39.19999999999999,-1.2000000000000028,-4.799999999999997,0.7999999999999998,-0.5,-20.0,-2.4000000000000004,-3.1,1
-129.39999999999998,-7.0,97.6,-98.00000000000003,1.3999999999999986,-15.199999999999996,-1.4,-0.6000000000000001,-78.9,9.200000000000001,0.30000000000000004,0
20.30000000000001,-35.0,-39.5,-37.400000000000034,7.800000000000001,-2.8999999999999986,0.3999999999999999,0.6000000000000001,-10.0,7.8999999999999995,1.0,0
13.900000000000006,-16.599999999999994,1.8000000000000114,-141.3,-2.8000000000000007,-14.599999999999998,1.0,0.40000000000000013,-10.0,9.8,5.4,0
-7.400000000000006,64.1,-3.5999999999999943,-11.099999999999994,8.200000000000003,-0.1999999999999993,0.0,0.6000000000000001,-40.0,19.4,13.3,1
12.899999999999991,25.900000000000006,7.0,46.900000000000006,-2.6000000000000014,5.0,0.0,-0.09999999999999987,22.199999999999996,-11.200000000000001,-4.0,0
25.399999999999977,-81.5,17.69999999999999,-18.69999999999999,2.1999999999999957,-8.0,-0.3999999999999999,-0.09999999999999998,20.0,5.0,1.5000000000000002,1
70.69999999999999,34.900000000000006,72.59999999999997,24.900000000000006,12.399999999999999,-6.300000000000001,-0.7,0.0,11.100000000000001,7.700000000000001,-2.8000000000000003,0
