team,L3,Year
Alabama,12.3,9.1
Notre Dame,17.7,11.7
Florida,11.7,12.1
Boise St,14.0,14.4
LSU,20.3,14.5
BYU,25.3,14.5
Utah St,10.3,14.7
Florida St,11.3,15.0
Bowling Green,5.0,16.1
Rutgers,20.0,16.3
Michigan St,17.7,16.3
Stanford,6.7,16.6
Michigan,15.3,16.8
Penn St,19.3,17.1
Wisconsin,14.3,17.1
Oregon St,17.7,18.1
South Carolina,34.0,18.3
Oklahoma,19.0,18.4
UConn,23.3,18.6
N Illinois,13.7,19.1
Vanderbilt,6.7,19.3
Kansas St,22.7,19.8
Georgia,14.3,20.9
UCF,17.0,20.9
Mississippi St,26.3,21.0
Texas A&M,19.3,21.9
Iowa,30.0,22.1
San Jose St,19.0,22.5
Cincinnati,29.0,22.5
Fresno St,18.7,22.9
Pittsburgh,17.3,23.1
UCLA,22.3,23.4
North Carolina,27.3,23.6
Maryland,24.3,23.6
Iowa St,29.0,23.8
Ohio St,22.3,23.9
Ohio,21.7,24.0
San Diego St,23.3,24.0
Oregon,28.7,24.0
Missouri,22.0,24.1
USC,35.7,24.2
Louisville,24.3,24.3
Northwestern,19.7,24.3
Utah,18.0,24.8
Kent St,23.7,24.9
Arizona St,41.3,25.4
NC State,31.3,25.4
W Kentucky,27.7,25.6
Navy,25.0,25.6
Clemson,16.7,25.9
Tulsa,18.0,26.0
Toledo,30.0,26.5
Minnesota,33.7,26.6
Virginia Tech,29.3,26.9
TCU,43.3,27.1
California,30.3,27.2
Syracuse,27.0,27.3
Auburn,29.0,27.3
Nebraska,20.3,27.5
S Florida,23.3,27.8
Mississippi,28.0,27.9
Washington,27.3,28.0
UL Monroe,35.3,28.4
Middle Tenn,31.7,28.9
Texas Tech,46.3,28.9
UTEP,32.7,28.9
Virginia,16.3,29.3
Wake Forest,22.0,29.4
Oklahoma St,22.7,29.4
Arkansas,17.3,29.8
Air Force,31.7,30.0
Troy,42.0,30.0
E Carolina,39.7,30.3
Indiana,23.0,30.4
Buffalo,23.0,30.5
N Texas,32.7,30.8
W Michigan,40.0,30.8
Texas St,25.3,30.9
Arkansas St,25.0,31.0
Georgia Tech,23.7,31.1
Texas,29.7,31.6
Nevada,41.3,31.6
SMU,32.3,31.9
New Mexico,37.3,32.1
Louisiana,34.7,32.3
Miami,21.0,32.6
S Alabama,33.3,32.6
Temple,42.3,32.7
UNLV,21.0,33.1
Kansas,38.0,33.1
Kentucky,34.0,33.2
Purdue,35.7,33.3
Washington St,34.7,33.3
Florida Intl,24.0,33.3
Ball St,25.3,33.3
Colorado St,36.7,33.5
Florida Atlantic,29.3,33.8
Rice,30.7,33.8
Louisiana Tech,23.0,34.1
Duke,44.7,34.3
Boston College,27.3,34.4
Memphis,39.0,35.9
Wyoming,39.3,36.1
New Mexico St,37.0,36.4
Army,33.0,36.6
Houston,51.7,36.7
Miami OH,28.0,37.0
Illinois,42.7,37.3
C Michigan,32.3,38.1
Southern Miss,43.3,38.2
Tennessee,43.3,38.3
UTSA,50.3,38.3
E Michigan,35.7,39.3
Arizona,39.7,39.4
Tulane,39.3,39.6
UAB,38.7,40.1
Akron,35.7,40.6
Baylor,35.0,41.4
Marshall,35.3,43.6
West Virginia,47.7,43.7
UMass,45.3,44.1
Idaho,50.0,44.8
Colorado,56.0,48.3
Hawai'i,40.7,48.4
