team,L3,Year
Baylor,63.7,63.4
Texas Tech,43.7,47.8
TCU,49.0,46.8
Houston,43.0,44.4
W Kentucky,54.0,44.0
Bowling Green,49.7,43.3
Memphis,38.0,42.6
Oklahoma,38.7,40.0
Georgia So,50.3,38.8
Washington St,41.7,38.6
Stanford,51.0,38.5
Oklahoma St,33.0,38.4
USC,28.3,38.3
Notre Dame,34.7,38.3
Mississippi,28.7,38.2
LSU,41.3,37.3
North Carolina,45.3,37.3
App State,42.3,37.2
Ohio St,40.3,37.0
Texas A&M,27.0,36.5
Utah,42.0,36.5
Boise St,40.7,36.3
Arizona,33.0,35.8
Oregon,35.0,35.7
Alabama,35.3,35.6
West Virginia,29.3,35.4
NC State,29.7,35.2
UCLA,38.0,34.8
Toledo,41.7,34.7
Utah St,47.0,34.4
Temple,38.7,33.7
California,29.3,33.6
Tennessee,28.3,33.6
Florida St,31.3,33.5
Cincinnati,34.7,33.4
Tulsa,25.0,33.3
Iowa,26.3,33.2
E Carolina,39.0,32.8
Navy,28.3,32.5
Louisiana Tech,32.3,32.5
Nebraska,27.3,32.4
Clemson,33.7,32.4
Southern Miss,30.3,31.8
Middle Tenn,27.7,31.8
Indiana,28.7,31.8
Georgia Tech,27.7,31.7
Florida,29.0,31.6
Miami,25.7,31.4
N Illinois,41.0,31.3
Michigan St,27.3,30.7
Georgia,16.7,30.7
Marshall,30.3,29.7
Kansas St,26.3,29.6
Mississippi St,35.7,29.5
Syracuse,28.7,29.2
BYU,37.7,29.1
Colorado,26.0,28.8
W Michigan,34.0,28.6
Rutgers,35.3,28.6
Michigan,29.7,28.6
E Michigan,21.0,28.3
Arizona St,34.7,28.2
C Michigan,39.7,28.2
SMU,29.3,28.0
Louisiana,25.7,27.5
Virginia Tech,20.3,27.3
Duke,29.0,26.8
Texas St,30.3,26.8
Wisconsin,17.7,26.3
Arkansas St,35.0,26.2
Iowa St,30.0,26.0
Florida Intl,33.3,25.7
Illinois,20.3,25.4
New Mexico,27.7,25.3
Ohio,20.7,25.3
Auburn,24.7,25.2
New Mexico St,19.3,25.0
Air Force,21.7,24.6
Kentucky,19.0,24.6
San Jose St,20.3,24.5
Texas,19.3,24.5
Pittsburgh,24.7,24.4
S Florida,30.0,24.2
Virginia,25.7,24.0
Nevada,24.3,24.0
Rice,18.0,24.0
Arkansas,19.7,23.8
Colorado St,22.0,23.8
Ball St,23.3,23.3
Georgia St,20.7,23.2
Florida Atlantic,20.0,23.2
Penn St,19.7,23.0
UMass,24.0,22.7
Louisville,19.3,22.6
San Diego St,26.3,22.3
Idaho,24.7,22.2
S Alabama,22.7,22.2
Wyoming,19.3,21.5
Army,25.0,21.2
Washington,20.3,21.0
UTSA,22.0,20.9
Buffalo,19.0,20.8
Oregon St,20.7,20.8
Purdue,13.7,20.7
Minnesota,22.0,20.4
South Carolina,17.7,20.4
UTEP,22.7,20.2
Fresno St,17.3,20.0
UConn,24.3,19.8
UNLV,26.0,19.7
Maryland,11.3,19.2
Old Dominion,14.7,19.2
Akron,23.0,19.0
N Texas,19.3,19.0
UL Monroe,23.0,16.6
Charlotte,14.7,16.2
Northwestern,12.3,16.0
UCF,20.0,15.8
Tulane,20.7,15.8
Kansas,13.3,15.4
Wake Forest,11.0,15.2
Troy,17.0,15.0
Vanderbilt,14.3,13.8
Missouri,11.0,13.7
Kent St,14.0,13.5
Miami OH,9.7,12.7
Hawai'i,13.7,11.5
Boston College,8.0,8.2
