team,L3,Year
Army,389.3,374.3
Air Force,338.5,338.5
Louisville,333.7,318.3
San Diego St,306.0,306.0
Ohio St,306.0,306.0
Pittsburgh,304.0,304.0
Oregon,284.0,284.0
Georgia So,283.7,283.7
S Florida,274.0,274.0
Florida St,270.0,270.0
Texas A&M,266.7,266.7
Navy,261.0,261.0
New Mexico,257.0,257.0
Arizona,256.7,256.7
Toledo,251.5,251.5
UCF,248.7,248.7
Alabama,247.7,246.3
Maryland,242.5,242.5
Nebraska,225.3,242.0
UNLV,240.3,240.3
Texas,238.3,238.3
Tulsa,236.7,236.7
Baylor,235.7,235.7
Auburn,284.0,234.8
Ball St,230.3,230.3
Michigan,204.3,229.8
Arizona St,223.3,223.3
Memphis,222.5,222.5
Ohio,222.3,222.3
Miami,221.5,221.5
Mississippi St,215.0,221.0
Southern Miss,218.7,218.7
Kansas St,214.0,214.0
App State,221.0,211.8
W Michigan,207.3,207.3
Georgia,206.7,206.7
Kentucky,230.3,205.3
Stanford,202.3,202.3
Iowa,201.0,201.0
Minnesota,196.5,196.5
West Virginia,195.0,195.0
Colorado,194.7,194.7
Virginia Tech,192.0,192.0
Washington,189.7,189.7
TCU,187.0,187.0
Tennessee,206.3,186.5
NC State,186.5,186.5
Utah,185.3,185.3
Boise St,184.3,184.3
Wisconsin,201.0,184.3
Indiana,182.7,182.7
Colorado St,180.0,180.0
Oklahoma,178.7,178.7
Troy,178.0,178.0
Florida,201.7,178.0
SMU,174.7,174.7
LSU,174.3,174.3
Nevada,173.0,173.0
Tulane,172.0,172.0
Rice,193.7,171.5
Old Dominion,170.7,170.7
Houston,170.7,170.7
Rutgers,168.7,168.7
UTEP,127.7,168.0
Georgia Tech,167.7,167.7
Michigan St,167.5,167.5
Wake Forest,166.0,166.0
Hawai'i,165.7,165.7
BYU,148.7,164.8
Notre Dame,149.7,163.8
Virginia,160.3,160.3
Buffalo,159.0,159.0
Cincinnati,159.0,159.0
Louisiana,158.0,158.0
Arkansas,175.3,158.0
Bowling Green,154.7,154.7
Louisiana Tech,152.7,152.7
Wyoming,151.0,151.0
E Michigan,150.7,150.7
Iowa St,150.3,150.3
Middle Tenn,150.3,150.3
Vanderbilt,142.0,148.8
N Illinois,148.3,148.3
Missouri,148.3,148.3
Charlotte,145.3,145.3
USC,169.3,143.0
New Mexico St,139.7,139.5
Clemson,137.0,137.0
California,117.3,135.3
Purdue,134.5,134.5
Washington St,134.0,134.0
Texas Tech,134.0,134.0
Marshall,131.0,131.0
Syracuse,127.3,127.3
North Carolina,124.7,124.7
Boston College,124.3,124.3
Akron,122.0,122.0
Oklahoma St,121.0,121.0
Duke,120.7,120.7
Florida Intl,139.7,120.5
UConn,119.0,119.0
UCLA,115.3,117.8
Mississippi,117.7,117.7
Kent St,116.0,116.0
E Carolina,116.0,116.0
Northwestern,115.3,115.3
W Kentucky,121.3,115.3
Temple,110.3,110.3
Idaho,103.7,103.7
Miami OH,102.7,102.7
Penn St,86.7,101.3
C Michigan,99.0,99.0
Utah St,96.3,96.3
San Jose St,95.3,95.3
N Texas,95.0,95.0
Arkansas St,92.7,92.7
Oregon St,92.5,92.5
Illinois,92.5,92.5
South Carolina,80.7,90.8
Fresno St,86.3,86.3
Florida Atlantic,83.3,83.3
S Alabama,80.3,80.3
UTSA,74.3,74.3
Kansas,73.5,73.5
UL Monroe,72.5,72.5
UMass,77.0,69.3
Texas St,53.7,53.7
Georgia St,45.7,45.7
