team,L3,Year
Hawai'i,397.7,384.3
Arizona St,349.0,373.4
Texas Tech,255.3,372.0
Notre Dame,334.7,330.3
USC,271.3,319.8
BYU,280.0,315.1
Northwestern,269.7,306.8
Oregon,267.0,301.4
UTEP,296.3,300.1
UAB,234.0,298.2
Michigan St,264.3,295.5
Utah,334.0,294.5
Louisville,257.3,293.6
Miami OH,283.0,291.7
Colorado St,263.3,286.3
Oregon St,188.0,285.9
Bowling Green,203.7,283.9
Vanderbilt,357.0,280.4
Houston,236.3,278.4
Akron,314.0,277.6
Washington St,283.0,273.8
UCLA,266.3,270.3
Florida St,256.0,266.8
Fresno St,325.3,265.3
New Mexico St,343.0,265.3
C Michigan,389.7,260.1
Idaho,278.3,257.3
Iowa,315.7,257.1
E Carolina,244.7,256.0
Nevada,196.3,249.8
Maryland,279.7,249.1
Wyoming,240.0,245.7
Southern Miss,275.3,244.8
W Michigan,222.3,244.4
Kent St,134.7,244.1
Boston College,223.7,242.8
Purdue,183.7,241.7
Texas,215.7,237.2
Tulsa,240.0,236.2
Stanford,269.7,234.5
N Illinois,148.7,234.4
UCF,232.0,234.2
Toledo,256.0,233.8
Iowa St,254.0,232.9
San Diego St,270.3,231.6
Rutgers,234.0,231.1
Clemson,212.3,230.8
Georgia,195.7,229.0
Wisconsin,249.7,228.4
Nebraska,266.7,227.3
Florida Intl,196.7,227.2
Arizona,217.3,226.7
Florida,233.0,226.7
Ohio St,249.0,225.7
LSU,182.0,225.4
Missouri,213.7,224.5
Virginia,267.0,223.7
E Michigan,290.3,223.3
Washington,197.3,222.8
Colorado,125.0,222.8
Tulane,221.7,222.7
Michigan,234.0,222.7
Minnesota,233.7,221.7
South Carolina,190.7,220.8
Boise St,219.0,219.7
Louisiana Tech,238.3,219.1
Auburn,178.0,217.2
UNLV,216.0,217.2
Alabama,205.7,216.4
Miami,185.0,215.5
North Carolina,244.3,214.3
Cincinnati,216.3,211.2
Indiana,189.7,210.9
Pittsburgh,207.3,210.2
Penn St,198.7,208.8
TCU,245.3,207.8
Baylor,210.3,205.0
Mississippi,214.0,203.9
UL Monroe,193.7,202.9
Kansas St,147.3,201.4
Utah St,208.7,200.0
Middle Tenn,230.0,198.5
Tennessee,187.0,198.0
New Mexico,173.0,196.5
Illinois,143.3,196.5
Texas A&M,135.7,196.3
Georgia Tech,190.7,195.3
Marshall,168.7,194.5
California,166.3,193.5
Kansas,247.3,192.7
San Jose St,136.0,192.0
Virginia Tech,199.7,190.2
Ball St,210.0,189.0
NC State,108.3,181.5
Arkansas St,181.0,179.8
Florida Atlantic,179.7,177.8
Oklahoma,184.3,177.6
SMU,146.3,175.6
Oklahoma St,201.0,174.7
Army,158.3,170.9
Air Force,222.7,170.7
Buffalo,169.7,170.5
Kentucky,144.0,169.0
Temple,175.0,165.5
Troy,199.7,162.3
Wake Forest,178.0,161.3
Syracuse,134.0,150.7
S Florida,182.7,147.5
Arkansas,171.0,147.3
UConn,164.0,142.0
N Texas,215.7,129.3
Mississippi St,86.3,129.1
Memphis,108.0,124.2
Louisiana,98.7,123.4
Duke,214.7,121.5
Ohio,91.7,118.5
Navy,101.7,116.5
West Virginia,83.3,111.5
Rice,146.0,103.3
