team,L3,Year
Oregon,11.4,11.4
LSU,11.2,11.2
Missouri,8.5,8.5
USC,8.3,8.3
Oklahoma,8.0,8.0
Oklahoma St,7.9,7.9
Texas A&M,7.7,7.7
Alabama,7.5,7.5
Stanford,7.3,7.3
Arizona,6.5,6.5
Kansas St,6.0,6.0
Texas,5.7,5.7
Arizona St,5.5,5.5
Baylor,4.9,4.9
UCLA,4.2,4.2
Arkansas,4.2,4.2
Utah,4.0,4.0
California,3.9,3.9
Florida,3.7,3.7
Oregon St,3.6,3.6
Washington,3.3,3.3
Mississippi St,3.3,3.3
Michigan St,3.3,3.3
Notre Dame,3.3,3.3
Boise St,3.2,3.2
Tennessee,2.9,2.9
Georgia,2.7,2.7
South Carolina,2.6,2.6
Miami,2.5,2.5
Michigan,2.5,2.5
Ohio St,2.3,2.3
Nebraska,2.2,2.2
Wisconsin,2.1,2.1
Colorado,2.0,2.0
Auburn,2.0,2.0
Washington St,1.5,1.5
Florida St,1.4,1.4
Tulsa,1.3,1.3
Vanderbilt,1.2,1.2
Illinois,1.1,1.1
Iowa St,1.1,1.1
Penn St,0.9,0.9
TCU,0.7,0.7
Texas Tech,0.6,0.6
S Florida,0.6,0.6
North Carolina,0.3,0.3
Pittsburgh,0.2,0.2
Cincinnati,0.1,0.1
Wake Forest,-0.2,-0.2
West Virginia,-0.2,-0.2
Maryland,-0.3,-0.3
Clemson,-0.5,-0.5
Mississippi,-0.5,-0.5
Boston College,-1.3,-1.3
Rutgers,-1.5,-1.5
Virginia Tech,-1.6,-1.6
NC State,-1.7,-1.7
Kansas,-1.7,-1.7
Purdue,-1.7,-1.7
SMU,-2.0,-2.0
Iowa,-2.1,-2.1
Georgia Tech,-2.1,-2.1
Duke,-2.4,-2.4
Northwestern,-2.4,-2.4
Syracuse,-2.4,-2.4
Louisiana Tech,-2.5,-2.5
BYU,-2.6,-2.6
Louisville,-2.7,-2.7
Toledo,-2.7,-2.7
Virginia,-2.8,-2.8
San Diego St,-2.9,-2.9
Navy,-3.1,-3.1
Marshall,-3.7,-3.7
Nevada,-3.7,-3.7
Minnesota,-3.9,-3.9
UConn,-3.9,-3.9
Kentucky,-4.1,-4.1
W Michigan,-4.6,-4.6
UCF,-5.0,-5.0
San Jose St,-5.1,-5.1
Fresno St,-5.2,-5.2
Army,-5.3,-5.3
Indiana,-5.3,-5.3
Air Force,-5.6,-5.6
E Carolina,-5.8,-5.8
Rice,-5.9,-5.9
Southern Miss,-6.0,-6.0
Ball St,-6.7,-6.7
Miami OH,-7.1,-7.1
Houston,-7.2,-7.2
Bowling Green,-7.3,-7.3
N Illinois,-7.4,-7.4
Temple,-7.5,-7.5
Utah St,-7.6,-7.6
UL Monroe,-7.9,-7.9
UTEP,-8.3,-8.3
UAB,-8.4,-8.4
N Texas,-8.6,-8.6
Idaho,-9.0,-9.0
Arkansas St,-9.0,-9.0
Hawai'i,-9.1,-9.1
Florida Atlantic,-9.4,-9.4
Buffalo,-9.6,-9.6
C Michigan,-9.9,-9.9
New Mexico St,-10.0,-10.0
Wyoming,-10.3,-10.3
W Kentucky,-10.4,-10.4
Florida Intl,-10.4,-10.4
Troy,-11.0,-11.0
Ohio,-11.3,-11.3
Middle Tenn,-11.5,-11.5
Colorado St,-11.5,-11.5
Louisiana,-11.6,-11.6
UNLV,-11.6,-11.6
Kent St,-11.7,-11.7
Tulane,-13.6,-13.6
E Michigan,-13.8,-13.8
Akron,-15.0,-15.0
Memphis,-16.1,-16.1
New Mexico,-16.4,-16.4
