team,L3,Year
Texas Tech,335.0,407.8
Hawai'i,402.0,388.2
Arizona St,386.3,376.8
USC,341.3,334.3
Notre Dame,348.7,328.8
UAB,327.0,315.0
Oregon,256.0,312.2
BYU,280.3,311.7
Louisville,296.3,305.7
Northwestern,272.3,302.5
Michigan St,272.0,301.7
UTEP,314.0,301.5
Oregon St,274.0,297.9
UCLA,348.7,295.5
Miami OH,309.7,295.3
Houston,282.0,294.1
Bowling Green,208.7,291.7
Utah,343.0,291.3
Colorado St,223.7,281.1
Vanderbilt,365.0,276.6
Washington St,218.3,272.8
Kent St,256.7,270.4
Florida St,190.7,270.3
Nevada,265.3,267.7
N Illinois,251.3,266.5
Akron,226.0,266.3
Idaho,317.7,259.8
E Carolina,265.3,256.8
Purdue,196.3,253.5
C Michigan,343.7,253.4
Maryland,246.0,252.8
Colorado,272.0,252.1
New Mexico St,271.0,251.1
W Michigan,243.7,251.0
LSU,267.3,244.5
Texas,272.7,243.6
Boston College,192.7,242.7
Georgia,192.7,240.4
Clemson,221.7,240.2
Auburn,239.7,237.1
Fresno St,296.7,236.4
Wyoming,228.7,235.7
Tulsa,246.7,235.1
UCF,213.0,234.9
Iowa,262.7,233.9
Southern Miss,232.0,233.4
Tulane,193.3,232.5
Florida Intl,214.7,231.0
E Michigan,286.3,230.9
Arizona,258.0,228.2
Iowa St,272.0,227.9
Miami,194.7,225.7
Toledo,228.0,225.5
Wisconsin,265.0,225.2
Florida,191.7,223.1
Washington,183.0,222.3
UNLV,284.0,222.2
Stanford,227.3,221.3
South Carolina,170.0,220.3
Louisiana Tech,254.3,219.9
Boise St,202.3,219.9
Michigan,201.0,217.9
North Carolina,210.7,217.7
Alabama,197.0,216.7
Nebraska,208.3,215.7
Indiana,210.7,215.6
San Diego St,203.7,214.7
Penn St,222.7,214.7
Rutgers,181.7,214.6
Mississippi,233.3,214.1
Missouri,145.3,212.5
Kansas St,178.3,209.7
UL Monroe,267.0,209.4
Virginia,167.0,209.2
NC State,153.3,208.9
Cincinnati,197.3,208.8
Minnesota,248.0,208.2
Marshall,165.0,207.1
Ohio St,220.7,206.6
Texas A&M,170.0,205.0
Tennessee,167.0,203.6
TCU,191.0,201.6
New Mexico,201.7,200.0
Pittsburgh,171.7,199.3
Utah St,249.7,199.1
Baylor,187.7,197.6
Georgia Tech,177.7,196.8
California,164.7,195.8
San Jose St,157.0,195.0
Illinois,155.3,192.0
Virginia Tech,193.7,189.3
Middle Tenn,252.0,186.6
Ball St,178.3,179.8
Arkansas St,148.0,179.4
Florida Atlantic,148.0,178.4
SMU,181.7,178.2
Kentucky,210.3,176.6
Oklahoma,241.3,175.3
Army,168.3,172.1
Kansas,151.0,169.6
Air Force,210.0,169.2
Wake Forest,178.0,161.3
Buffalo,177.7,160.7
Temple,199.7,157.5
Troy,168.7,154.8
Oklahoma St,149.7,154.8
Syracuse,146.3,146.8
Arkansas,142.7,141.9
Mississippi St,121.0,138.6
UConn,156.3,135.5
S Florida,148.7,131.3
Ohio,122.0,130.7
Memphis,144.0,130.3
Louisiana,116.0,128.0
West Virginia,120.7,122.0
Navy,76.0,121.4
Duke,177.7,116.9
N Texas,133.3,106.9
Rice,95.3,90.2
