team,L3,Year
Missouri,7.2,7.2
Florida,7.0,7.0
Michigan,6.7,6.7
Auburn,5.6,5.6
Oregon St,4.2,4.2
Notre Dame,3.6,3.6
Vanderbilt,3.6,3.6
Kansas St,3.5,3.5
Texas A&M,3.3,3.3
Miami,2.3,2.3
Arizona,2.3,2.3
USC,2.3,2.3
Alabama,2.1,2.1
Oklahoma,2.1,2.1
California,1.7,1.7
Clemson,1.5,1.5
UL Monroe,1.3,1.3
Utah,1.2,1.2
Stanford,1.0,1.0
Fresno St,0.9,0.9
Boise St,0.6,0.6
Georgia,-0.1,-0.1
Purdue,-0.3,-0.3
UCLA,-0.5,-0.5
Tulane,-0.5,-0.5
Southern Miss,-0.5,-0.5
Michigan St,-0.5,-0.5
Kentucky,-0.6,-0.6
UAB,-0.7,-0.7
Arizona St,-0.7,-0.7
Nebraska,-1.2,-1.2
BYU,-1.3,-1.3
South Carolina,-1.3,-1.3
UCF,-1.5,-1.5
Oklahoma St,-1.7,-1.7
UTEP,-2.0,-2.0
Bowling Green,-2.3,-2.3
Arkansas,-2.7,-2.7
Tennessee,-2.7,-2.7
Georgia Tech,-2.9,-2.9
LSU,-2.9,-2.9
Virginia,-2.9,-2.9
W Kentucky,-3.0,-3.0
Oregon,-3.2,-3.2
Rice,-3.4,-3.4
S Florida,-3.4,-3.4
Illinois,-3.7,-3.7
Texas,-3.9,-3.9
Virginia Tech,-3.9,-3.9
Florida Intl,-4.1,-4.1
E Carolina,-4.1,-4.1
N Texas,-4.3,-4.3
Iowa St,-4.3,-4.3
Tulsa,-4.4,-4.4
Arkansas St,-4.4,-4.4
Houston,-4.5,-4.5
SMU,-4.6,-4.6
Ball St,-4.7,-4.7
Florida St,-4.7,-4.7
Maryland,-4.9,-4.9
Wisconsin,-4.9,-4.9
Syracuse,-5.0,-5.0
Washington,-5.0,-5.0
Louisiana,-5.5,-5.5
Navy,-5.6,-5.6
Louisiana Tech,-5.6,-5.6
North Carolina,-5.8,-5.8
Army,-5.9,-5.9
Ohio St,-6.1,-6.1
NC State,-6.1,-6.1
Rutgers,-6.1,-6.1
Troy,-6.2,-6.2
Nevada,-6.3,-6.3
UConn,-6.3,-6.3
Utah St,-6.4,-6.4
Penn St,-6.4,-6.4
Boston College,-6.5,-6.5
Pittsburgh,-6.6,-6.6
W Michigan,-6.7,-6.7
Louisville,-6.8,-6.8
E Michigan,-6.8,-6.8
UMass,-6.9,-6.9
Northwestern,-7.4,-7.4
Mississippi,-7.6,-7.6
San Jose St,-7.6,-7.6
Marshall,-7.7,-7.7
Baylor,-8.4,-8.4
Ohio,-8.4,-8.4
Wake Forest,-8.5,-8.5
Mississippi St,-8.6,-8.6
Toledo,-8.6,-8.6
Kansas,-9.2,-9.2
Iowa,-9.3,-9.3
Temple,-9.4,-9.4
C Michigan,-9.7,-9.7
Akron,-10.0,-10.0
Florida Atlantic,-10.1,-10.1
TCU,-10.2,-10.2
Air Force,-10.3,-10.3
Hawai'i,-10.6,-10.6
Duke,-10.8,-10.8
New Mexico,-10.9,-10.9
San Diego St,-11.0,-11.0
Wyoming,-11.2,-11.2
Cincinnati,-11.4,-11.4
S Alabama,-11.7,-11.7
N Illinois,-11.7,-11.7
Idaho,-12.4,-12.4
Texas St,-13.6,-13.6
West Virginia,-13.7,-13.7
Miami OH,-13.8,-13.8
Kent St,-14.0,-14.0
Minnesota,-14.1,-14.1
Colorado St,-14.6,-14.6
Washington St,-15.1,-15.1
New Mexico St,-15.3,-15.3
Buffalo,-16.0,-16.0
Memphis,-16.7,-16.7
UNLV,-17.0,-17.0
Colorado,-17.2,-17.2
Texas Tech,-17.2,-17.2
Indiana,-18.8,-18.8
Middle Tenn,-22.8,-22.8
UTSA,-24.2,-24.2
