team,L3,Year
Texas A&M,100.0,100.0
Ohio St,100.0,100.0
Indiana,100.0,100.0
Mississippi,90.9,90.9
Texas Tech,90.9,90.9
BYU,90.0,90.0
Oregon,90.0,90.0
Georgia,90.0,90.0
Georgia Tech,90.0,90.0
N Texas,90.0,90.0
J Madison,90.0,90.0
Virginia,81.8,81.8
Michigan,80.0,80.0
Houston,80.0,80.0
Utah,80.0,80.0
USC,80.0,80.0
Navy,80.0,80.0
Tulane,80.0,80.0
Alabama,80.0,80.0
Oklahoma,80.0,80.0
Vanderbilt,80.0,80.0
Notre Dame,80.0,80.0
W Kentucky,80.0,80.0
UNLV,80.0,80.0
Miami,80.0,80.0
San Diego St,80.0,80.0
Memphis,72.7,72.7
UConn,72.7,72.7
Nebraska,70.0,70.0
Tennessee,70.0,70.0
S Florida,70.0,70.0
Wake Forest,70.0,70.0
E Carolina,70.0,70.0
Hawai'i,70.0,70.0
Pittsburgh,70.0,70.0
Washington,70.0,70.0
Arizona,70.0,70.0
Jacksonville St,70.0,70.0
Cincinnati,70.0,70.0
SMU,70.0,70.0
Louisville,70.0,70.0
Fresno St,70.0,70.0
Texas,70.0,70.0
Arizona St,70.0,70.0
Illinois,70.0,70.0
Southern Miss,70.0,70.0
New Mexico,70.0,70.0
Missouri,70.0,70.0
Kennesaw St,70.0,70.0
Old Dominion,70.0,70.0
Missouri St,70.0,70.0
LSU,60.0,60.0
Minnesota,60.0,60.0
TCU,60.0,60.0
Boise St,60.0,60.0
Coastal Car,60.0,60.0
Iowa,60.0,60.0
C Michigan,60.0,60.0
W Michigan,60.0,60.0
California,60.0,60.0
Iowa St,60.0,60.0
Toledo,60.0,60.0
Troy,60.0,60.0
Ohio,60.0,60.0
Army,55.6,55.6
Florida St,50.0,50.0
Rutgers,50.0,50.0
Northwestern,50.0,50.0
Washington St,50.0,50.0
Florida Intl,50.0,50.0
Arkansas St,50.0,50.0
Miami OH,50.0,50.0
Utah St,50.0,50.0
Georgia So,50.0,50.0
Buffalo,50.0,50.0
Duke,50.0,50.0
Kentucky,50.0,50.0
Marshall,50.0,50.0
NC State,50.0,50.0
Kansas,50.0,50.0
UTSA,50.0,50.0
Baylor,50.0,50.0
Rice,50.0,50.0
Delaware,50.0,50.0
Clemson,50.0,50.0
Kansas St,50.0,50.0
Louisiana Tech,50.0,50.0
Temple,50.0,50.0
Mississippi St,45.5,45.5
Penn St,40.0,40.0
Kent St,40.0,40.0
Maryland,40.0,40.0
Louisiana,40.0,40.0
App State,40.0,40.0
Texas St,40.0,40.0
Ball St,40.0,40.0
North Carolina,40.0,40.0
Wyoming,40.0,40.0
Auburn,40.0,40.0
UCF,40.0,40.0
Florida Atlantic,40.0,40.0
Liberty,40.0,40.0
E Michigan,36.4,36.4
Akron,36.4,36.4
West Virginia,36.4,36.4
Florida,30.0,30.0
New Mexico St,30.0,30.0
Michigan St,30.0,30.0
Tulsa,30.0,30.0
N Illinois,30.0,30.0
UL Monroe,30.0,30.0
Stanford,30.0,30.0
San Jose St,30.0,30.0
South Carolina,30.0,30.0
Air Force,30.0,30.0
Wisconsin,30.0,30.0
Colorado,30.0,30.0
Virginia Tech,30.0,30.0
UCLA,30.0,30.0
Syracuse,30.0,30.0
Bowling Green,30.0,30.0
UAB,30.0,30.0
S Alabama,30.0,30.0
Nevada,20.0,20.0
Colorado St,20.0,20.0
UTEP,20.0,20.0
Arkansas,20.0,20.0
Sam Houston,20.0,20.0
Purdue,18.2,18.2
Oregon St,18.2,18.2
Oklahoma St,10.0,10.0
Middle Tenn,10.0,10.0
Georgia St,10.0,10.0
Charlotte,10.0,10.0
Boston College,9.1,9.1
UMass,0.0,0.0
