team,L3,Year
Air Force,345.7,362.0
Nebraska,344.7,344.7
Michigan,350.3,335.0
Nevada,310.3,327.0
Navy,306.7,306.7
Oregon,254.3,283.0
Georgia Tech,276.7,280.5
TCU,275.7,276.3
Army,262.7,270.0
Auburn,263.3,269.8
UCLA,328.0,265.8
Ohio St,238.3,236.4
USC,266.7,234.6
Boise St,255.0,233.8
Mississippi,278.3,232.3
Alabama,238.0,231.0
Michigan St,204.0,227.8
Kansas St,221.7,221.7
Florida St,247.0,216.0
Stanford,215.3,214.8
San Diego St,214.0,214.0
Wisconsin,192.7,214.0
Illinois,213.0,213.0
N Illinois,229.7,211.3
Louisville,209.0,209.0
Tulsa,210.3,202.8
S Florida,202.3,202.3
Virginia Tech,224.3,200.3
Clemson,198.7,198.7
Houston,198.3,198.3
LSU,180.7,196.8
Kentucky,171.0,190.2
UConn,202.0,186.0
Texas A&M,184.0,184.0
UAB,129.3,183.3
Temple,203.0,180.8
Arizona St,180.0,180.0
N Texas,190.3,178.0
Wake Forest,157.7,177.0
California,177.0,177.0
Baylor,178.0,176.8
Utah,194.3,176.3
Washington,191.7,175.8
Purdue,175.0,175.0
Oklahoma St,135.0,174.5
Southern Miss,210.0,174.3
Colorado,194.0,174.3
Ball St,171.7,171.7
Iowa,136.3,171.5
Pittsburgh,170.0,170.0
Iowa St,176.7,168.8
UCF,168.3,168.3
Vanderbilt,160.0,168.0
Florida,141.3,165.8
South Carolina,164.7,164.7
Mississippi St,151.3,163.3
Utah St,188.3,161.3
Troy,145.7,161.0
UTEP,180.7,160.5
Buffalo,159.7,160.3
SMU,145.3,159.2
Syracuse,158.0,158.0
Minnesota,115.3,157.8
Northwestern,159.0,155.5
Kansas,158.0,154.3
NC State,154.7,150.8
W Kentucky,139.7,150.0
Middle Tenn,143.3,143.3
Arkansas St,218.0,143.0
Missouri,142.7,142.7
West Virginia,140.3,140.3
Penn St,144.7,140.3
North Carolina,169.7,137.0
Georgia,146.7,137.0
Maryland,95.3,136.8
Toledo,153.3,131.4
Miami,131.0,131.0
Texas,95.0,129.8
Oklahoma,110.0,127.0
E Michigan,94.0,126.8
Florida Intl,108.3,123.0
E Carolina,111.7,122.5
Oregon St,138.7,122.3
BYU,77.3,120.2
C Michigan,141.0,118.0
Ohio,141.0,117.3
Memphis,144.0,115.2
Duke,101.7,115.0
Fresno St,114.0,114.0
Notre Dame,83.7,112.4
New Mexico St,114.0,111.8
Rutgers,111.3,111.3
UNLV,108.7,108.0
Louisiana,137.0,106.8
Akron,118.7,102.8
Louisiana Tech,113.0,102.0
Marshall,108.7,101.0
Rice,99.3,98.8
Idaho,111.7,98.8
UL Monroe,94.0,94.0
Indiana,92.7,92.7
Texas Tech,96.7,92.0
Arizona,90.3,90.3
Virginia,87.5,87.5
Tennessee,55.7,87.3
New Mexico,93.7,86.2
Cincinnati,85.3,85.3
Wyoming,93.0,84.3
Miami OH,75.7,83.6
Tulane,80.0,80.0
Washington St,68.7,79.5
San Jose St,79.3,79.3
Florida Atlantic,67.0,73.5
Arkansas,72.0,72.0
Hawai'i,44.7,70.5
Kent St,67.3,67.3
Bowling Green,53.7,62.0
W Michigan,60.7,60.7
Colorado St,51.3,56.2
Boston College,54.7,54.7
