team,L3,Year
Oregon,47.3,53.5
Oklahoma St,48.0,52.3
Nebraska,47.7,47.7
Boise St,49.0,45.0
Utah,50.0,44.3
Ohio St,46.7,44.2
Nevada,41.0,43.5
Stanford,45.3,42.8
Michigan,45.0,41.3
Tulsa,36.3,39.5
Alabama,39.0,37.8
Texas A&M,36.7,36.7
Auburn,38.0,36.6
Kentucky,32.0,36.4
Houston,36.3,36.3
E Carolina,31.0,36.0
Indiana,36.0,36.0
USC,37.7,35.8
TCU,37.7,35.8
Fresno St,35.7,35.7
San Diego St,35.3,35.3
Virginia Tech,36.3,34.8
Texas Tech,34.7,34.8
Mississippi,37.0,34.5
Michigan St,32.7,34.0
Troy,35.3,34.0
Missouri,33.7,33.7
NC State,35.0,33.3
Oklahoma,28.7,32.8
Iowa,32.0,32.8
Baylor,31.7,32.3
Florida,28.3,31.4
SMU,33.7,31.2
California,30.7,30.7
Army,31.3,30.6
Hawai'i,28.3,30.3
UTEP,32.0,30.0
Florida St,33.0,29.0
N Illinois,35.3,29.0
Idaho,32.3,28.5
Miami,28.3,28.3
South Carolina,28.3,28.3
Arizona,28.3,28.3
Northwestern,29.7,28.0
Wisconsin,23.7,28.0
Oregon St,30.0,27.8
UConn,33.7,27.8
Washington,31.3,27.8
Bowling Green,30.3,27.6
Arkansas,27.3,27.3
Arkansas St,28.7,27.2
North Carolina,27.7,26.8
Georgia Tech,27.3,26.8
Clemson,26.7,26.7
Iowa St,26.3,26.5
Louisville,26.0,26.0
Arizona St,26.0,26.0
C Michigan,31.3,26.0
UCLA,35.7,25.8
UAB,23.3,25.3
Kansas St,25.0,25.0
Georgia,21.0,24.8
Texas,18.7,24.8
Notre Dame,25.3,24.6
Wake Forest,14.7,24.5
Temple,28.3,24.5
Southern Miss,28.3,24.5
Duke,16.7,24.5
Syracuse,24.5,24.5
LSU,21.7,24.4
Maryland,26.7,24.3
Minnesota,24.0,24.0
Pittsburgh,23.7,23.7
Mississippi St,15.0,23.5
Kansas,21.7,23.3
Air Force,19.3,23.3
S Florida,23.0,23.0
West Virginia,23.0,23.0
Colorado,22.3,22.8
Middle Tenn,22.7,22.7
Miami OH,23.7,22.2
UNLV,26.0,21.8
Utah St,20.7,21.5
Rice,19.0,21.2
Toledo,27.7,21.0
Cincinnati,20.7,20.7
Washington St,21.7,20.5
Louisiana,24.3,20.0
E Michigan,17.0,19.8
Florida Intl,21.7,19.8
UCF,19.3,19.3
Marshall,22.7,19.2
Navy,19.0,19.0
Tennessee,21.0,19.0
Purdue,18.7,18.7
Vanderbilt,17.3,18.3
Ohio,20.0,18.3
Illinois,18.0,18.0
Louisiana Tech,18.7,18.0
N Texas,16.0,17.8
W Kentucky,20.3,17.8
Tulane,17.7,17.7
Florida Atlantic,12.3,17.3
W Michigan,17.0,17.0
Buffalo,19.7,16.3
Memphis,14.7,15.6
Rutgers,15.3,15.3
BYU,13.0,15.2
Ball St,14.7,14.7
Virginia,14.0,14.0
Penn St,16.3,13.0
Boston College,13.0,13.0
New Mexico,14.7,12.2
New Mexico St,8.7,11.8
Akron,14.7,11.8
Wyoming,13.3,11.8
Kent St,11.3,11.3
Colorado St,15.3,11.0
UL Monroe,10.0,10.0
San Jose St,6.7,6.7
