team,L3,Year
N Texas,13.3,13.3
Florida Atlantic,13.1,13.1
Louisiana,11.8,11.8
Louisiana Tech,11.2,11.2
Stanford,10.9,10.9
Marshall,9.6,9.6
SMU,9.6,9.6
Kentucky,9.4,9.4
Utah St,9.4,9.4
Southern Miss,8.6,8.6
Washington St,8.3,8.3
Virginia,8.1,8.1
N Illinois,7.7,7.7
Utah,7.3,7.3
Vanderbilt,7.1,7.1
W Michigan,6.8,6.8
Kent St,6.7,6.7
E Michigan,6.6,6.6
Akron,6.6,6.6
California,6.4,6.4
Arkansas,5.0,5.0
Idaho,4.9,4.9
Syracuse,4.9,4.9
Nevada,4.7,4.7
Hawai'i,4.5,4.5
Army,4.5,4.5
UAB,4.3,4.3
San Jose St,4.0,4.0
Temple,4.0,4.0
E Carolina,3.8,3.8
Memphis,3.4,3.4
BYU,3.4,3.4
Florida Intl,3.0,3.0
Houston,2.5,2.5
Notre Dame,1.9,1.9
Bowling Green,1.8,1.8
Rutgers,1.7,1.7
UTEP,1.2,1.2
Boston College,1.2,1.2
Miami OH,1.1,1.1
TCU,0.6,0.6
Mississippi St,0.5,0.5
Toledo,0.4,0.4
Iowa St,-0.4,-0.4
South Carolina,-0.5,-0.5
Baylor,-0.6,-0.6
Northwestern,-1.1,-1.1
C Michigan,-1.2,-1.2
San Diego St,-1.2,-1.2
North Carolina,-1.7,-1.7
Wisconsin,-1.8,-1.8
Georgia Tech,-1.9,-1.9
Rice,-2.5,-2.5
Middle Tenn,-3.0,-3.0
Mississippi,-3.4,-3.4
Arizona,-3.4,-3.4
Navy,-3.8,-3.8
Buffalo,-4.0,-4.0
Washington,-4.0,-4.0
Oklahoma,-4.3,-4.3
Alabama,-4.5,-4.5
Arkansas St,-4.5,-4.5
Fresno St,-4.7,-4.7
Michigan St,-4.9,-4.9
Wake Forest,-4.9,-4.9
USC,-5.0,-5.0
Tennessee,-6.4,-6.4
Ball St,-6.6,-6.6
Penn St,-6.6,-6.6
Minnesota,-6.7,-6.7
Indiana,-6.8,-6.8
Michigan,-7.1,-7.1
UCLA,-7.3,-7.3
Ohio St,-7.7,-7.7
Pittsburgh,-8.1,-8.1
Auburn,-8.3,-8.3
Florida,-8.6,-8.6
Louisville,-9.4,-9.4
Wyoming,-9.4,-9.4
Texas Tech,-9.6,-9.6
West Virginia,-9.6,-9.6
Oregon,-10.9,-10.9
Nebraska,-11.2,-11.2
LSU,-11.8,-11.8
Clemson,-13.1,-13.1
Texas,-13.3,-13.3
Duke,-23.5,-23.5
New Mexico,-23.9,-23.9
Colorado,-24.3,-24.3
Kansas St,-26.5,-26.5
Boise St,-28.7,-28.7
UConn,-28.7,-28.7
UNLV,-28.9,-28.9
NC State,-29.1,-29.1
Maryland,-29.1,-29.1
Oklahoma St,-29.4,-29.4
New Mexico St,-29.5,-29.5
Missouri,-29.8,-29.8
Oregon St,-30.0,-30.0
UL Monroe,-30.2,-30.2
Tulsa,-30.2,-30.2
Troy,-30.2,-30.2
Virginia Tech,-30.2,-30.2
UCF,-30.4,-30.4
Georgia,-30.7,-30.7
Arizona St,-30.8,-30.8
Iowa,-31.1,-31.1
Colorado St,-31.4,-31.4
Texas A&M,-31.5,-31.5
Purdue,-31.7,-31.7
Illinois,-31.7,-31.7
Kansas,-31.7,-31.7
S Florida,-31.7,-31.7
Cincinnati,-31.7,-31.7
Ohio,-32.8,-32.8
