team,L3,Year
Michigan,155.0,144.8
Ohio St,102.0,145.3
Notre Dame,136.3,156.7
N Illinois,137.7,157.8
Virginia Tech,169.7,166.5
Ohio,147.0,170.3
Penn St,157.7,171.3
Rutgers,166.7,172.7
Iowa,129.7,173.0
Clemson,164.0,177.3
Northwestern,153.3,178.8
Buffalo,147.7,179.6
S Alabama,205.3,179.8
Air Force,189.0,183.1
Georgia,177.3,183.2
Texas A&M,222.3,187.6
San Jose St,162.7,187.7
Akron,164.3,188.7
Louisiana Tech,224.0,189.5
Miami OH,212.0,192.6
Florida St,176.7,193.6
Bowling Green,209.7,193.9
UTEP,189.7,194.3
Army,168.0,194.3
Toledo,191.3,194.6
Boston College,160.3,194.9
Wisconsin,183.3,195.8
Alabama,233.7,201.1
Auburn,167.3,201.7
Coastal Car,84.3,205.0
App State,182.3,206.3
Utah St,173.3,207.3
SMU,269.3,207.8
Troy,226.7,208.8
Arkansas,236.7,209.4
E Michigan,272.0,209.5
Ball St,128.7,212.4
Hawai'i,181.7,214.1
N Texas,206.3,214.3
Duke,287.0,214.7
Iowa St,232.7,215.1
Charlotte,202.7,215.3
UCF,249.3,216.0
Marshall,243.0,216.1
Wyoming,243.3,216.2
UMass,181.7,216.9
Pittsburgh,183.7,217.1
Fresno St,213.3,218.1
Maryland,157.7,219.5
NC State,184.7,219.5
Nebraska,225.0,221.2
Mississippi St,150.7,223.5
Minnesota,255.7,225.9
Georgia Tech,163.3,226.6
Kansas,199.7,227.2
Illinois,207.7,227.5
Cincinnati,159.0,228.3
Mississippi,227.3,229.1
Texas Tech,246.0,229.4
BYU,221.3,229.7
Oregon,229.3,230.0
E Carolina,155.3,230.3
Kansas St,219.0,231.1
Oklahoma,220.3,232.9
Tennessee,270.7,233.1
New Mexico St,198.7,233.5
Louisville,237.7,233.7
Oregon St,216.3,233.9
Kent St,224.0,234.1
W Michigan,197.7,235.7
Louisiana,191.3,236.3
Navy,254.3,236.9
Rice,172.3,237.4
C Michigan,286.7,237.7
San Diego St,215.7,238.1
Liberty,252.7,238.5
Virginia,243.3,238.5
North Carolina,235.3,238.9
Kentucky,212.3,239.4
Texas St,183.3,239.6
UNLV,144.0,239.8
Florida Intl,193.3,240.0
Utah,232.3,240.1
W Kentucky,208.7,240.1
UTSA,247.0,241.3
Missouri,253.3,241.5
Wake Forest,170.0,241.5
Michigan St,224.7,242.8
Purdue,285.7,242.9
New Mexico,231.7,243.2
West Virginia,274.7,243.3
UCLA,286.7,243.3
Tulane,225.7,243.5
UAB,236.7,243.6
Miami,232.0,244.1
Washington St,152.0,245.1
Sam Houston,339.0,245.8
Syracuse,170.7,246.0
Colorado St,154.0,246.5
TCU,266.0,246.7
Florida Atlantic,302.3,247.4
Arizona,246.3,248.7
Arizona St,247.0,249.4
LSU,249.0,249.8
Florida,319.3,251.6
Indiana,331.7,252.6
Baylor,311.7,252.8
Old Dominion,213.3,253.2
Texas,317.3,253.9
Southern Miss,197.0,254.1
Oklahoma St,302.0,254.9
USC,274.3,255.2
Houston,258.3,255.5
Temple,228.7,255.6
Nevada,210.0,256.9
Jacksonville St,280.7,259.3
Middle Tenn,271.3,260.1
Washington,249.3,260.5
South Carolina,157.0,260.5
Georgia So,238.0,261.9
Memphis,270.3,266.9
Arkansas St,258.0,270.5
UConn,339.7,273.0
Vanderbilt,266.3,276.3
Boise St,237.3,278.5
J Madison,213.3,280.5
California,330.0,281.2
Georgia St,325.0,282.9
UL Monroe,291.0,286.3
Colorado,259.7,296.5
Tulsa,255.0,302.4
S Florida,380.0,307.6
Stanford,285.3,315.7
