team,L3,Year
J Madison,37.5,37.5
Alabama,57.0,62.5
Clemson,67.7,67.7
Iowa St,68.3,68.3
Rutgers,69.0,69.0
Minnesota,70.7,70.7
Baylor,77.0,77.0
Oregon,82.0,82.0
Miami,82.7,82.7
LSU,82.7,82.7
UCLA,83.3,83.3
Iowa,86.3,86.3
W Kentucky,90.3,90.3
Washington,91.7,91.7
S Alabama,94.0,94.0
Illinois,94.3,94.3
Penn St,103.3,95.0
Navy,97.0,97.0
NC State,97.0,97.0
Miami OH,98.0,98.0
Tennessee,106.0,98.0
Virginia Tech,100.7,100.7
Marshall,102.3,102.3
Middle Tenn,103.7,103.7
West Virginia,104.0,104.0
Georgia,108.3,108.3
TCU,108.5,108.5
Michigan,118.0,109.0
Missouri,109.3,109.3
Pittsburgh,110.3,110.3
Syracuse,102.3,111.0
Ohio St,123.0,111.3
Coastal Car,114.0,114.0
Duke,115.0,115.0
Arkansas,115.0,115.0
Mississippi St,111.0,115.5
Texas Tech,117.0,117.0
Florida Intl,118.0,118.0
E Carolina,119.0,119.0
UNLV,119.0,119.0
Cincinnati,119.7,119.7
Virginia,121.7,121.7
Mississippi,125.0,125.0
Kentucky,125.0,125.0
Oklahoma St,126.5,126.5
Memphis,137.3,127.3
Michigan St,122.7,127.3
N Illinois,127.7,127.7
California,128.3,128.3
Washington St,129.7,129.7
App State,106.0,133.3
Boise St,134.0,134.0
Utah,134.3,134.3
Texas,149.3,135.0
Arkansas St,135.3,135.3
Air Force,137.0,137.0
Purdue,137.3,137.3
Louisiana,138.7,138.7
New Mexico,140.7,140.7
Liberty,104.7,141.5
Notre Dame,132.3,142.3
Wisconsin,143.0,143.0
Auburn,144.0,144.0
Oregon St,145.7,145.7
C Michigan,146.3,146.3
Houston,163.0,148.3
Tulane,148.3,148.3
Rice,149.0,149.0
Maryland,163.3,149.5
San Diego St,152.7,152.7
BYU,163.3,152.8
Kansas,153.0,153.0
Indiana,157.3,157.3
Oklahoma,200.7,157.5
Kansas St,158.0,158.0
Georgia St,185.0,158.5
Vanderbilt,176.7,159.5
Wake Forest,160.7,160.7
Texas St,161.7,161.7
Florida St,162.0,162.0
Louisville,148.3,163.0
UL Monroe,164.3,164.3
Colorado St,165.3,165.3
Temple,166.0,166.0
Stanford,166.5,166.5
Bowling Green,168.3,168.3
Buffalo,169.0,169.0
San Jose St,170.0,170.0
Wyoming,140.3,170.3
Ohio,170.3,170.3
USC,179.3,171.0
E Michigan,171.7,171.7
Florida Atlantic,211.0,173.8
Troy,174.3,174.3
Kent St,174.3,174.3
Nevada,204.3,174.5
Boston College,178.7,178.7
UMass,179.0,179.0
UTEP,158.0,179.2
W Michigan,174.7,180.3
Northwestern,182.3,182.3
UCF,184.0,184.0
Old Dominion,200.7,187.3
Tulsa,192.3,192.3
UConn,172.3,194.5
Ball St,196.3,196.3
South Carolina,195.7,196.8
Texas A&M,200.0,200.0
UAB,201.0,201.0
N Texas,236.0,203.8
New Mexico St,183.7,205.4
Fresno St,206.0,206.0
UTSA,206.3,206.3
Southern Miss,208.3,208.3
Utah St,208.7,208.7
Army,209.5,209.5
Arizona,210.0,210.0
SMU,211.7,211.7
Florida,212.0,216.5
Akron,219.0,219.0
Toledo,234.3,234.3
Georgia So,234.3,234.3
Arizona St,239.0,239.0
Georgia Tech,239.7,239.7
Charlotte,249.7,241.8
Nebraska,253.0,253.0
Louisiana Tech,259.3,259.3
North Carolina,270.0,270.0
S Florida,272.7,272.7
Hawai'i,255.3,294.5
Colorado,354.0,334.3
