team,L3,Year
Alabama,13.5,13.5
Georgia,12.9,12.9
LSU,11.1,11.1
Mississippi St,10.5,10.5
Texas A&M,10.4,10.4
Auburn,10.3,10.3
Oklahoma,9.5,9.5
Michigan,9.3,9.3
Missouri,9.1,9.1
Florida,9.0,9.0
Clemson,8.6,8.6
Notre Dame,7.8,7.8
Penn St,7.2,7.2
Kentucky,7.0,7.0
Pittsburgh,6.9,6.9
Ohio St,6.9,6.9
South Carolina,6.8,6.8
Purdue,6.6,6.6
Texas,6.6,6.6
Michigan St,6.6,6.6
West Virginia,6.5,6.5
Washington,6.3,6.3
UCLA,6.2,6.2
Northwestern,5.9,5.9
Iowa St,5.7,5.7
Stanford,5.5,5.5
Wisconsin,5.4,5.4
Utah,5.2,5.2
TCU,5.1,5.1
Syracuse,4.9,4.9
Texas Tech,4.8,4.8
Oklahoma St,4.7,4.7
Tennessee,4.5,4.5
Maryland,4.3,4.3
Iowa,4.3,4.3
Indiana,4.2,4.2
Kansas St,4.1,4.1
Duke,4.0,4.0
Vanderbilt,3.9,3.9
Mississippi,3.9,3.9
Minnesota,3.8,3.8
Nebraska,3.7,3.7
Miami,3.7,3.7
Arizona St,3.6,3.6
Boston College,3.6,3.6
USC,3.5,3.5
Florida St,3.0,3.0
Georgia Tech,2.7,2.7
Baylor,2.6,2.6
Washington St,2.4,2.4
Wake Forest,2.0,2.0
Virginia,1.8,1.8
Oregon,1.6,1.6
Boise St,1.5,1.5
NC State,1.2,1.2
Virginia Tech,1.1,1.1
California,1.0,1.0
North Carolina,0.8,0.8
Fresno St,0.5,0.5
Kansas,0.4,0.4
BYU,0.3,0.3
Arizona,0.1,0.1
Colorado,-0.3,-0.3
Arkansas,-0.4,-0.4
Utah St,-1.5,-1.5
Rutgers,-1.6,-1.6
Oregon St,-1.7,-1.7
Temple,-1.9,-1.9
Navy,-2.1,-2.1
N Illinois,-2.2,-2.2
Cincinnati,-2.5,-2.5
Army,-2.8,-2.8
Memphis,-2.9,-2.9
UCF,-3.0,-3.0
Louisville,-3.3,-3.3
SMU,-3.9,-3.9
Middle Tenn,-4.0,-4.0
App State,-4.1,-4.1
Illinois,-4.2,-4.2
Air Force,-4.3,-4.3
San Diego St,-4.4,-4.4
Miami OH,-4.5,-4.5
Tulane,-4.6,-4.6
Wyoming,-4.8,-4.8
Florida Atlantic,-4.9,-4.9
Houston,-5.0,-5.0
Ohio,-5.4,-5.4
Nevada,-5.7,-5.7
Buffalo,-5.9,-5.9
Toledo,-6.1,-6.1
Troy,-6.5,-6.5
E Michigan,-6.6,-6.6
Marshall,-6.7,-6.7
W Michigan,-6.9,-6.9
Tulsa,-7.1,-7.1
S Florida,-7.6,-7.6
UAB,-7.9,-7.9
San Jose St,-8.0,-8.0
Arkansas St,-8.3,-8.3
Akron,-8.4,-8.4
Georgia So,-8.4,-8.4
Colorado St,-8.4,-8.4
Louisiana,-8.6,-8.6
New Mexico,-8.7,-8.7
Charlotte,-8.7,-8.7
Florida Intl,-9.4,-9.4
E Carolina,-9.5,-9.5
Hawai'i,-9.5,-9.5
Coastal Car,-9.5,-9.5
UNLV,-9.6,-9.6
UL Monroe,-9.6,-9.6
N Texas,-9.7,-9.7
Kent St,-9.7,-9.7
Bowling Green,-9.8,-9.8
Louisiana Tech,-9.9,-9.9
C Michigan,-10.0,-10.0
Ball St,-10.2,-10.2
Georgia St,-10.7,-10.7
UMass,-10.9,-10.9
Southern Miss,-10.9,-10.9
W Kentucky,-11.4,-11.4
S Alabama,-11.6,-11.6
UTSA,-11.7,-11.7
Old Dominion,-11.7,-11.7
UConn,-12.5,-12.5
Liberty,-12.6,-12.6
New Mexico St,-13.9,-13.9
Texas St,-14.4,-14.4
Rice,-14.6,-14.6
UTEP,-15.2,-15.2
