team,L3,Year
Oregon St,8.8,8.8
Alabama,8.2,8.2
South Carolina,8.1,8.1
Arkansas,8.1,8.1
Stanford,8.0,8.0
Auburn,7.9,7.9
Oregon,7.7,7.7
Oklahoma,6.6,6.6
LSU,6.5,6.5
Florida St,6.3,6.3
Arizona St,6.3,6.3
Washington,6.1,6.1
USC,5.8,5.8
Florida,5.5,5.5
Mississippi St,5.3,5.3
Georgia,5.1,5.1
California,5.1,5.1
Arizona,5.1,5.1
Miami,4.7,4.7
UCLA,4.7,4.7
Texas A&M,4.7,4.7
Virginia Tech,4.7,4.7
Boise St,4.5,4.5
Wisconsin,4.1,4.1
Missouri,3.8,3.8
NC State,3.6,3.6
Nebraska,3.6,3.6
Ohio St,3.5,3.5
TCU,3.2,3.2
Oklahoma St,3.2,3.2
Clemson,3.2,3.2
Tennessee,3.0,3.0
Utah,2.9,2.9
Notre Dame,2.8,2.8
Iowa,2.1,2.1
North Carolina,2.1,2.1
Pittsburgh,1.9,1.9
Washington St,1.4,1.4
Kentucky,1.4,1.4
West Virginia,0.8,0.8
Texas,0.6,0.6
Iowa St,0.6,0.6
Maryland,0.5,0.5
Michigan St,0.5,0.5
Michigan,0.4,0.4
Colorado,0.4,0.4
Texas Tech,0.1,0.1
Illinois,0.0,0.0
Cincinnati,0.0,0.0
Baylor,-0.1,-0.1
Penn St,-0.1,-0.1
Air Force,-0.2,-0.2
Georgia Tech,-0.2,-0.2
S Florida,-0.4,-0.4
BYU,-0.6,-0.6
Boston College,-0.6,-0.6
Minnesota,-0.9,-0.9
Kansas St,-0.9,-0.9
UConn,-0.9,-0.9
Nevada,-1.0,-1.0
Mississippi,-1.2,-1.2
Louisville,-1.4,-1.4
Wake Forest,-1.5,-1.5
Vanderbilt,-1.5,-1.5
Duke,-2.2,-2.2
Syracuse,-3.0,-3.0
Virginia,-3.0,-3.0
San Diego St,-3.1,-3.1
Hawai'i,-3.4,-3.4
E Carolina,-3.6,-3.6
Navy,-3.7,-3.7
Rutgers,-3.8,-3.8
Northwestern,-4.1,-4.1
Tulsa,-4.3,-4.3
Fresno St,-4.6,-4.6
UNLV,-4.8,-4.8
Kansas,-5.2,-5.2
Houston,-5.2,-5.2
SMU,-5.5,-5.5
Purdue,-5.6,-5.6
UCF,-5.8,-5.8
Memphis,-6.2,-6.2
Wyoming,-6.2,-6.2
Southern Miss,-6.3,-6.3
Louisiana Tech,-6.4,-6.4
Indiana,-6.8,-6.8
Idaho,-7.4,-7.4
Utah St,-7.4,-7.4
Colorado St,-7.6,-7.6
N Illinois,-7.8,-7.8
Rice,-7.8,-7.8
Army,-8.0,-8.0
C Michigan,-8.4,-8.4
Toledo,-8.5,-8.5
Florida Intl,-8.6,-8.6
Marshall,-8.9,-8.9
UAB,-8.9,-8.9
Arkansas St,-9.1,-9.1
Temple,-9.3,-9.3
Bowling Green,-9.4,-9.4
W Michigan,-9.6,-9.6
Troy,-9.7,-9.7
Tulane,-9.8,-9.8
Louisiana,-10.1,-10.1
Florida Atlantic,-10.2,-10.2
E Michigan,-10.2,-10.2
Miami OH,-10.2,-10.2
New Mexico,-10.4,-10.4
San Jose St,-10.8,-10.8
W Kentucky,-10.8,-10.8
N Texas,-11.4,-11.4
Kent St,-11.5,-11.5
UL Monroe,-11.6,-11.6
New Mexico St,-12.1,-12.1
UTEP,-12.9,-12.9
Akron,-13.4,-13.4
Ohio,-13.4,-13.4
Middle Tenn,-14.3,-14.3
Ball St,-15.4,-15.4
Buffalo,-15.5,-15.5
