team,L3,Year
Washington St,365.0,381.6
Texas Tech,380.0,370.1
Ohio St,378.0,369.1
Alabama,334.0,341.6
Mississippi,363.3,337.0
West Virginia,280.7,332.7
Purdue,329.3,330.3
NC State,302.0,324.9
Boise St,315.0,318.9
Liberty,291.7,318.4
Colorado St,339.0,317.0
Oklahoma,317.7,316.4
E Carolina,409.7,315.4
UMass,375.7,312.9
Hawai'i,297.3,312.3
N Texas,320.3,309.8
Old Dominion,318.7,309.0
Houston,335.7,307.1
Oklahoma St,268.7,295.5
Southern Miss,233.3,291.1
Stanford,300.3,287.3
Fresno St,300.7,285.0
UCF,239.7,284.9
Colorado,268.7,282.6
Baylor,201.0,280.6
Syracuse,347.7,278.5
Florida St,343.3,277.1
Texas A&M,268.3,271.8
Clemson,317.7,271.5
Temple,327.0,269.0
Notre Dame,312.3,268.1
Bowling Green,274.7,267.4
Utah St,248.0,266.6
Texas,285.3,266.3
Missouri,262.7,266.0
Oregon,249.3,265.3
Northwestern,152.7,264.7
Virginia Tech,234.3,261.9
S Florida,283.3,261.3
Arkansas St,293.7,260.5
Indiana,275.0,256.8
Buffalo,298.7,254.8
Nebraska,264.3,253.6
South Carolina,246.0,252.1
Arizona St,268.0,250.0
Nevada,266.7,248.9
Memphis,259.7,248.4
New Mexico St,284.7,245.4
Oregon St,264.0,244.3
San Jose St,251.7,243.1
Iowa St,259.0,242.9
Ball St,220.7,242.0
E Michigan,223.3,241.1
W Michigan,170.0,240.9
Louisville,253.0,240.4
SMU,312.3,239.0
TCU,244.0,236.1
North Carolina,266.7,235.6
Arizona,256.7,235.4
Michigan St,161.3,234.8
USC,193.3,234.7
Minnesota,303.7,234.6
Georgia St,251.3,233.9
Auburn,265.3,232.5
Miami OH,283.7,231.3
W Kentucky,223.7,230.1
Duke,267.3,229.9
UL Monroe,228.3,228.6
Wake Forest,253.0,225.9
Florida Atlantic,172.7,225.1
Louisiana,225.7,224.8
Kent St,168.0,222.6
Florida Intl,211.3,222.4
Georgia,187.3,222.3
Vanderbilt,212.3,222.3
Iowa,192.0,221.9
Penn St,185.0,221.3
Ohio,170.7,220.6
Toledo,237.0,216.5
Troy,211.7,216.4
Washington,167.7,215.7
Marshall,167.3,215.0
BYU,231.3,212.6
Boston College,188.7,210.8
UCLA,256.0,209.6
Louisiana Tech,157.0,207.0
Virginia,206.7,206.5
Akron,231.3,206.0
Middle Tenn,206.3,205.6
S Alabama,188.3,205.4
Utah,211.0,204.9
Tennessee,202.0,203.0
Michigan,160.0,200.6
Cincinnati,217.3,199.3
LSU,171.0,197.1
California,188.0,197.1
Rice,210.7,195.8
Florida,199.7,193.9
Kansas,218.3,193.3
Texas St,184.3,190.6
Miami,150.3,185.5
UAB,176.7,185.4
Arkansas,182.7,182.9
Charlotte,146.3,182.9
App State,124.0,181.7
New Mexico,131.0,179.8
UTEP,198.3,175.9
Wisconsin,167.3,174.2
UNLV,251.0,170.6
Illinois,189.0,170.1
Coastal Car,183.3,169.3
San Diego St,203.0,169.1
UConn,126.7,166.3
Tulsa,158.3,164.0
Mississippi St,181.0,160.6
Kansas St,133.3,158.9
Air Force,218.7,158.5
Tulane,102.0,154.4
Rutgers,116.7,152.4
UTSA,151.3,149.2
C Michigan,117.3,145.0
Kentucky,179.3,141.0
N Illinois,149.3,139.1
Pittsburgh,112.3,132.9
Maryland,134.0,125.0
Wyoming,89.0,116.6
Georgia Tech,76.3,88.4
Army,56.7,86.1
Georgia So,70.7,79.6
Navy,92.3,62.8
