team,L3,Year
J Madison,37.7,32.8
UCLA,59.0,58.3
Miami,69.0,64.5
Penn St,42.3,68.3
Utah,87.0,68.5
Nebraska,105.3,75.8
Air Force,91.3,77.5
Ohio,83.0,79.8
Texas A&M,69.7,84.0
Troy,57.3,84.4
Tulane,94.7,89.8
Oregon,62.7,90.5
Michigan,100.0,90.8
Kentucky,113.0,92.0
Fresno St,104.0,92.6
Cincinnati,98.0,94.3
Georgia,120.0,98.0
Maryland,93.3,99.2
Louisville,88.3,99.6
UNLV,73.3,99.8
Georgia St,116.3,99.8
Clemson,74.7,101.2
Oregon St,134.7,106.0
Alabama,92.3,106.2
Wisconsin,110.0,106.6
Ohio St,120.7,108.3
Arizona,121.7,111.8
Texas,128.3,112.3
NC State,79.0,113.4
Oklahoma,149.0,114.5
Ball St,120.3,115.2
Kansas St,130.3,115.3
Liberty,74.3,117.2
California,137.0,117.6
Jacksonville St,100.7,117.8
North Carolina,124.0,117.8
Missouri,132.7,121.4
Washington,100.7,121.6
Texas Tech,109.3,122.6
Rutgers,180.7,124.4
Tennessee,134.3,124.5
Michigan St,125.7,125.0
Georgia So,136.7,125.5
Syracuse,151.0,126.0
S Alabama,133.0,127.0
Arizona St,155.0,129.4
Iowa,155.7,131.2
Stanford,177.7,132.0
E Carolina,135.7,132.3
Middle Tenn,115.3,132.6
Mississippi,130.0,133.6
TCU,191.3,134.0
Florida,156.7,135.0
Old Dominion,131.0,135.2
Wake Forest,144.0,135.3
Tulsa,150.7,136.0
Miami OH,124.0,136.8
Washington St,171.0,137.5
UConn,95.7,137.7
Minnesota,153.3,137.8
Arkansas,196.3,138.4
Iowa St,157.7,139.4
Notre Dame,166.7,140.2
Colorado St,157.7,140.8
Duke,117.3,141.3
Mississippi St,151.0,141.4
Boston College,138.0,141.6
Auburn,143.0,142.3
West Virginia,141.7,142.8
SMU,182.7,144.0
Florida St,169.0,144.8
Rice,137.0,150.4
UTSA,209.0,151.8
Wyoming,160.0,152.0
Purdue,175.0,153.8
Akron,194.7,156.0
South Carolina,153.0,156.8
USC,162.0,157.0
Boise St,149.7,157.0
Toledo,194.3,157.2
New Mexico St,114.0,157.8
C Michigan,143.0,158.4
Bowling Green,127.3,159.4
LSU,190.0,159.8
Coastal Car,161.3,160.3
Pittsburgh,142.3,160.8
Vanderbilt,170.7,161.2
Oklahoma St,179.0,161.8
Colorado,130.7,163.0
Houston,180.3,163.6
S Florida,164.7,165.2
Louisiana,194.3,166.8
Kansas,182.3,167.2
BYU,213.3,169.8
Navy,164.3,171.0
Northwestern,215.3,174.4
Texas St,204.0,175.6
Illinois,148.0,176.0
Memphis,214.7,177.0
Charlotte,155.3,177.3
Utah St,153.7,178.6
Florida Atlantic,188.0,178.8
Hawai'i,238.0,182.2
Indiana,195.7,182.5
Virginia,153.7,183.0
N Illinois,182.3,183.4
W Michigan,170.3,183.6
UL Monroe,187.0,184.3
Sam Houston,191.0,186.0
New Mexico,204.7,187.0
Kent St,128.3,189.2
Southern Miss,171.0,190.6
Baylor,198.7,192.6
Nevada,187.0,194.0
Army,192.7,196.3
Virginia Tech,178.0,199.0
App State,159.7,199.5
Buffalo,155.3,201.0
Marshall,219.7,201.3
W Kentucky,143.7,201.8
E Michigan,212.0,211.2
Arkansas St,232.3,213.4
San Diego St,239.7,215.0
Louisiana Tech,220.3,216.2
UTEP,231.0,217.0
UAB,221.0,217.6
Florida Intl,240.0,217.6
Georgia Tech,188.0,218.0
Temple,256.3,219.4
UMass,228.0,220.1
UCF,277.7,220.2
San Jose St,299.7,251.2
N Texas,257.7,282.5
