team,L3,Year
Alabama,11.7,11.7
Oklahoma,11.1,11.1
Mississippi,10.5,10.5
LSU,10.1,10.1
USC,9.9,9.9
Arkansas,9.9,9.9
Notre Dame,9.3,9.3
Clemson,8.6,8.6
Mississippi St,8.6,8.6
Stanford,8.0,8.0
California,7.9,7.9
Tennessee,7.9,7.9
Baylor,7.9,7.9
TCU,7.8,7.8
Auburn,7.7,7.7
Oregon,7.6,7.6
Florida,7.5,7.5
Texas A&M,7.1,7.1
Washington,7.0,7.0
Michigan St,7.0,7.0
Oklahoma St,6.8,6.8
Utah,6.7,6.7
Georgia Tech,6.4,6.4
Arizona St,6.4,6.4
Texas,6.3,6.3
Ohio St,6.1,6.1
West Virginia,6.0,6.0
UCLA,6.0,6.0
North Carolina,5.8,5.8
Michigan,5.6,5.6
Texas Tech,5.6,5.6
Florida St,5.4,5.4
Georgia,5.2,5.2
Pittsburgh,4.9,4.9
Louisville,4.8,4.8
Virginia,4.6,4.6
Miami,4.5,4.5
Vanderbilt,4.5,4.5
Iowa St,4.0,4.0
Missouri,3.8,3.8
South Carolina,3.8,3.8
Washington St,3.8,3.8
Kansas St,3.6,3.6
Virginia Tech,3.5,3.5
BYU,3.2,3.2
Maryland,3.2,3.2
NC State,3.0,3.0
Northwestern,3.0,3.0
Wisconsin,2.9,2.9
Nebraska,2.8,2.8
Iowa,2.7,2.7
Syracuse,2.6,2.6
Memphis,2.4,2.4
Penn St,2.4,2.4
Minnesota,2.3,2.3
Arizona,2.2,2.2
Boston College,1.8,1.8
Illinois,1.6,1.6
Wake Forest,1.5,1.5
Indiana,0.9,0.9
Oregon St,0.8,0.8
Navy,0.7,0.7
Purdue,0.4,0.4
Kentucky,0.0,0.0
Colorado,-0.1,-0.1
Duke,-0.2,-0.2
S Florida,-0.2,-0.2
Temple,-0.7,-0.7
W Michigan,-0.9,-0.9
Houston,-0.9,-0.9
Boise St,-1.1,-1.1
Cincinnati,-1.3,-1.3
Bowling Green,-1.5,-1.5
Utah St,-1.6,-1.6
Toledo,-1.7,-1.7
Air Force,-2.0,-2.0
Rutgers,-2.1,-2.1
E Carolina,-2.1,-2.1
W Kentucky,-2.1,-2.1
N Illinois,-3.7,-3.7
Southern Miss,-3.8,-3.8
UConn,-3.9,-3.9
Georgia So,-4.2,-4.2
C Michigan,-4.2,-4.2
Kansas,-4.5,-4.5
Middle Tenn,-4.6,-4.6
Tulsa,-4.7,-4.7
San Diego St,-4.9,-4.9
Louisiana Tech,-5.4,-5.4
San Jose St,-6.3,-6.3
Colorado St,-7.1,-7.1
Ohio,-7.3,-7.3
Arkansas St,-7.3,-7.3
New Mexico,-7.8,-7.8
UNLV,-7.9,-7.9
Fresno St,-8.1,-8.1
App State,-8.2,-8.2
Ball St,-8.4,-8.4
Marshall,-8.4,-8.4
SMU,-8.6,-8.6
Nevada,-8.8,-8.8
Akron,-8.9,-8.9
UCF,-9.3,-9.3
Troy,-9.3,-9.3
Kent St,-9.7,-9.7
Wyoming,-9.8,-9.8
Buffalo,-9.8,-9.8
UMass,-10.1,-10.1
Tulane,-10.3,-10.3
Florida Atlantic,-10.3,-10.3
Hawai'i,-10.5,-10.5
S Alabama,-10.6,-10.6
N Texas,-11.4,-11.4
Army,-11.9,-11.9
Georgia St,-12.2,-12.2
UTSA,-12.2,-12.2
Idaho,-12.4,-12.4
Miami OH,-12.5,-12.5
Florida Intl,-12.5,-12.5
UL Monroe,-13.0,-13.0
New Mexico St,-13.1,-13.1
Louisiana,-13.2,-13.2
E Michigan,-13.2,-13.2
Rice,-13.7,-13.7
Texas St,-14.9,-14.9
Charlotte,-15.2,-15.2
Old Dominion,-15.3,-15.3
UTEP,-15.6,-15.6
