team,L3,Year
Washington St,505.0,469.9
W Kentucky,341.7,410.1
E Carolina,368.3,383.2
California,327.0,378.0
TCU,413.7,361.0
Texas A&M,302.3,358.3
Arizona,325.3,348.4
West Virginia,287.0,345.0
Baylor,281.3,332.3
UMass,356.0,331.2
Florida St,298.0,322.2
Cincinnati,313.3,322.0
Texas Tech,327.0,315.1
Boise St,328.0,305.9
North Carolina,330.3,305.7
Arizona St,310.7,303.5
Idaho,281.3,303.1
Colorado,268.7,302.5
Georgia St,305.7,302.4
Colorado St,326.7,302.0
Oregon,290.7,302.0
Southern Miss,370.0,297.1
Bowling Green,240.0,292.9
Old Dominion,250.7,291.3
Alabama,250.3,288.5
Tulsa,279.0,287.4
Notre Dame,284.7,285.1
South Carolina,284.3,284.7
Buffalo,250.0,284.7
Illinois,241.7,283.9
UCLA,251.7,280.4
Miami OH,272.7,279.8
Marshall,256.3,279.6
Penn St,200.0,274.0
USC,256.0,272.3
San Jose St,303.0,270.8
W Michigan,266.7,269.1
Mississippi,185.7,268.8
Clemson,217.0,266.1
Oklahoma,257.7,266.0
UNLV,238.3,265.1
Iowa St,298.7,262.8
Mississippi St,247.0,258.3
Utah St,245.7,257.3
Memphis,302.0,251.8
Virginia,243.3,251.4
Kansas St,246.3,247.7
Michigan St,265.7,247.0
Louisiana Tech,255.7,247.0
Arkansas St,286.7,246.0
BYU,273.3,245.9
Miami,207.7,245.9
Rutgers,267.7,245.4
Ohio St,199.7,245.4
New Mexico St,235.3,245.3
Kentucky,254.3,244.4
Maryland,193.0,243.6
Oregon St,253.0,242.8
Toledo,208.0,242.0
Oklahoma St,178.3,242.0
Northwestern,208.0,241.7
UL Monroe,237.7,241.6
Iowa,260.3,241.2
Akron,211.7,237.4
Middle Tenn,228.7,236.4
UAB,187.7,235.1
Stanford,261.0,231.4
Ohio,289.0,230.6
Temple,234.3,230.2
NC State,144.0,229.9
Tennessee,199.3,229.0
Wyoming,225.0,227.1
Fresno St,193.3,226.4
Houston,223.3,225.7
Kent St,252.3,225.4
Rice,230.0,225.3
C Michigan,248.3,225.3
Virginia Tech,197.7,223.6
UCF,267.0,222.2
Nebraska,227.3,218.4
Louisville,196.3,218.3
Auburn,211.0,215.9
Nevada,236.7,215.9
Texas,253.7,210.6
Troy,195.0,209.0
Florida Atlantic,248.3,209.0
UConn,209.3,207.0
Ball St,249.7,204.5
Arkansas,251.0,200.4
Syracuse,169.7,199.0
Florida,135.7,198.5
Texas St,131.0,198.0
Hawai'i,218.7,195.9
S Alabama,190.3,195.0
N Illinois,170.0,193.3
Louisiana,202.7,191.3
App State,185.7,189.6
Pittsburgh,214.7,189.4
S Florida,256.0,188.1
Duke,163.0,186.7
Kansas,211.3,183.3
SMU,210.3,183.3
N Texas,256.0,181.6
Tulane,144.7,181.2
LSU,124.0,180.9
Indiana,119.0,180.3
Purdue,188.7,179.6
Florida Intl,169.7,177.7
Washington,198.7,175.6
Air Force,183.0,174.5
UTSA,132.3,172.5
Georgia,183.3,171.3
Missouri,86.0,170.0
Michigan,165.0,169.5
Utah,118.7,165.7
San Diego St,110.3,164.5
Wake Forest,142.3,163.0
Vanderbilt,156.3,160.9
UTEP,162.0,149.3
Minnesota,186.0,138.3
Georgia Tech,194.3,137.7
Boston College,136.3,134.1
Wisconsin,150.3,128.8
Georgia So,88.7,125.1
E Michigan,139.3,119.3
Navy,84.3,93.0
New Mexico,77.0,84.6
Army,58.0,54.3
