team,L3,Year
Alabama,13.7,13.7
Mississippi,12.8,12.8
Auburn,12.5,12.5
Texas A&M,12.0,12.0
LSU,10.9,10.9
Oklahoma,10.4,10.4
Arkansas,10.0,10.0
Tennessee,9.6,9.6
Mississippi St,9.6,9.6
USC,8.5,8.5
TCU,8.4,8.4
Georgia,8.4,8.4
UCLA,8.0,8.0
West Virginia,8.0,8.0
Florida,7.9,7.9
Oregon,7.1,7.1
Clemson,7.0,7.0
Baylor,6.9,6.9
Kansas St,6.6,6.6
South Carolina,6.6,6.6
Stanford,6.4,6.4
Arizona St,6.1,6.1
Utah,4.9,4.9
Arizona,4.9,4.9
Texas,4.9,4.9
Miami,4.8,4.8
Michigan St,4.4,4.4
Washington St,4.3,4.3
Notre Dame,4.0,4.0
Florida St,3.5,3.5
California,3.5,3.5
Missouri,3.1,3.1
Memphis,2.6,2.6
North Carolina,2.6,2.6
Nebraska,2.3,2.3
Maryland,1.9,1.9
Iowa St,1.9,1.9
Virginia Tech,1.8,1.8
Oregon St,1.5,1.5
Michigan,1.5,1.5
Syracuse,1.3,1.3
Washington,1.0,1.0
BYU,1.0,1.0
Northwestern,1.0,1.0
Wisconsin,0.9,0.9
Georgia Tech,0.9,0.9
Louisville,0.7,0.7
Colorado,0.5,0.5
Ohio St,0.4,0.4
Penn St,0.1,0.1
Boise St,0.0,0.0
Rutgers,-0.1,-0.1
Virginia,-0.3,-0.3
Oklahoma St,-0.3,-0.3
UCF,-0.4,-0.4
Nevada,-0.7,-0.7
Kentucky,-0.9,-0.9
Texas Tech,-0.9,-0.9
SMU,-1.2,-1.2
NC State,-1.6,-1.6
Boston College,-1.9,-1.9
Vanderbilt,-2.4,-2.4
Duke,-2.8,-2.8
Indiana,-2.9,-2.9
Houston,-3.0,-3.0
Fresno St,-3.0,-3.0
Pittsburgh,-3.2,-3.2
Cincinnati,-3.5,-3.5
Minnesota,-3.7,-3.7
Colorado St,-4.0,-4.0
E Carolina,-4.4,-4.4
Utah St,-4.5,-4.5
Louisiana Tech,-4.6,-4.6
Illinois,-4.7,-4.7
Purdue,-4.8,-4.8
Navy,-5.0,-5.0
Iowa,-5.1,-5.1
Temple,-5.6,-5.6
Florida Atlantic,-5.7,-5.7
Kansas,-5.8,-5.8
UTSA,-6.0,-6.0
Middle Tenn,-6.3,-6.3
Hawai'i,-6.4,-6.4
Arkansas St,-6.4,-6.4
San Jose St,-6.5,-6.5
Louisiana,-7.1,-7.1
UConn,-7.2,-7.2
W Kentucky,-7.3,-7.3
Rice,-7.5,-7.5
Wake Forest,-7.5,-7.5
S Florida,-7.8,-7.8
UNLV,-7.9,-7.9
Tulane,-7.9,-7.9
Toledo,-8.1,-8.1
UAB,-8.3,-8.3
Tulsa,-8.3,-8.3
San Diego St,-8.5,-8.5
Wyoming,-8.6,-8.6
Georgia So,-8.6,-8.6
Southern Miss,-9.2,-9.2
UTEP,-9.7,-9.7
New Mexico,-9.8,-9.8
Old Dominion,-10.3,-10.3
Akron,-10.4,-10.4
W Michigan,-10.4,-10.4
Bowling Green,-10.7,-10.7
UMass,-10.7,-10.7
Florida Intl,-10.7,-10.7
C Michigan,-10.7,-10.7
Air Force,-11.0,-11.0
Miami OH,-11.2,-11.2
N Texas,-11.5,-11.5
Marshall,-12.1,-12.1
Ball St,-12.2,-12.2
S Alabama,-12.2,-12.2
Ohio,-12.3,-12.3
N Illinois,-12.3,-12.3
Kent St,-12.5,-12.5
UL Monroe,-12.9,-12.9
Army,-13.3,-13.3
Idaho,-13.5,-13.5
Texas St,-14.2,-14.2
App State,-14.5,-14.5
Georgia St,-14.7,-14.7
E Michigan,-15.3,-15.3
Troy,-15.5,-15.5
Buffalo,-17.8,-17.8
New Mexico St,-18.0,-18.0
