team,L3,Year
Baylor,363.5,363.5
Navy,359.0,359.0
Air Force,353.5,353.5
Georgia So,349.7,349.7
LSU,315.0,315.0
Army,307.3,307.3
Houston,296.0,296.0
Notre Dame,308.3,284.8
NC State,279.0,279.0
Georgia Tech,276.0,276.0
Arizona,272.3,272.3
Tennessee,260.7,260.7
Georgia,257.0,257.0
App State,253.0,253.0
West Virginia,244.5,244.5
Colorado,243.3,243.3
TCU,238.7,238.7
Northwestern,238.7,238.7
New Mexico,236.7,236.7
UCLA,260.7,233.5
Indiana,233.3,233.3
Ball St,233.0,233.0
Ohio St,189.0,231.8
North Carolina,231.0,231.0
Oregon,218.7,218.7
SMU,218.0,218.0
Tulsa,216.3,216.3
Florida St,214.0,214.0
South Carolina,195.0,209.8
Texas Tech,205.0,205.0
Utah,229.7,204.5
Nevada,203.3,203.3
Alabama,190.7,202.5
Michigan,244.3,202.3
Louisiana Tech,202.0,202.0
Memphis,198.0,198.0
Ohio,195.0,195.0
Wyoming,195.0,195.0
Nebraska,217.7,194.8
S Florida,194.5,194.5
California,194.3,194.3
Iowa,191.7,191.7
Wisconsin,237.7,188.3
Colorado St,187.0,187.0
Boston College,186.5,186.5
Texas A&M,189.3,186.5
Arkansas,187.7,186.3
E Michigan,164.0,186.0
UTEP,184.7,184.7
Rutgers,184.3,184.3
Stanford,216.7,183.8
Auburn,183.7,183.7
Duke,182.7,182.7
Oklahoma,182.3,182.3
San Jose St,181.7,181.7
Cincinnati,181.3,181.3
Louisiana,179.5,179.5
Miami,179.0,179.0
USC,171.7,175.0
Virginia Tech,174.7,174.7
UTSA,164.0,171.3
Clemson,171.0,171.0
Texas St,170.7,170.7
Rice,170.3,170.3
Penn St,200.7,169.8
Kansas St,167.5,167.5
Illinois,167.0,167.0
Florida Atlantic,122.7,167.0
Texas,202.0,166.5
Michigan St,151.7,162.8
Minnesota,162.7,158.0
Oregon St,157.7,157.7
Oklahoma St,157.7,157.7
N Texas,156.7,156.7
Florida,132.3,155.3
Kentucky,147.3,155.0
Mississippi,152.7,152.7
Bowling Green,158.0,149.5
Marshall,148.7,148.7
Maryland,147.7,147.7
Syracuse,147.0,147.0
Middle Tenn,146.7,146.7
UNLV,145.7,145.7
Temple,143.7,143.7
New Mexico St,140.7,140.7
Toledo,140.3,140.3
Georgia St,138.7,138.7
Vanderbilt,136.3,136.3
Arizona St,135.3,135.3
Purdue,135.0,135.0
Iowa St,135.0,135.0
Akron,135.0,135.0
Buffalo,134.3,134.3
Charlotte,132.7,132.7
San Diego St,131.0,131.0
Southern Miss,131.0,131.0
Kansas,129.0,129.0
Kent St,128.3,128.3
Fresno St,125.0,125.0
N Illinois,122.3,122.3
UMass,113.3,113.3
Miami OH,113.3,113.3
Boise St,112.7,112.7
Missouri,112.0,112.0
UConn,109.3,109.3
Louisville,109.0,109.0
Wake Forest,105.3,105.3
BYU,94.3,103.8
S Alabama,101.7,101.7
Mississippi St,101.3,101.3
Troy,101.0,101.0
Utah St,100.0,100.0
Florida Intl,99.7,99.7
Arkansas St,95.7,95.7
Idaho,94.0,94.0
W Kentucky,112.7,93.8
Pittsburgh,91.0,91.0
Old Dominion,89.3,89.3
Virginia,88.3,88.3
E Carolina,83.0,83.0
Washington St,78.0,78.0
C Michigan,74.3,74.3
W Michigan,70.7,70.7
Washington,70.0,70.0
Hawai'i,65.0,65.0
Tulane,48.0,48.0
UCF,34.0,34.0
UL Monroe,27.0,27.0
