team,L3,Year
Michigan,41.7,65.0
Alabama,69.3,78.5
Boston College,93.3,80.5
Iowa,61.0,80.7
Boise St,130.7,87.9
Temple,56.7,92.1
LSU,77.3,93.7
Wisconsin,102.0,97.6
Nebraska,122.7,99.1
Louisiana Tech,66.3,100.3
San Diego St,77.3,103.0
Clemson,94.3,103.5
Arizona St,61.0,103.5
Houston,120.0,109.8
Akron,109.7,111.3
Utah,86.0,113.9
Arkansas,143.0,114.9
Michigan St,94.7,115.5
Missouri,139.0,117.0
Florida,132.0,117.7
NC State,184.0,119.2
Mississippi,87.7,121.9
Georgia So,137.0,122.0
Vanderbilt,88.7,122.7
Georgia,139.0,123.5
Toledo,184.3,125.0
Louisville,54.7,130.3
Memphis,110.3,132.2
Stanford,137.3,133.3
App State,135.3,134.3
Florida St,126.7,134.6
Pittsburgh,217.0,135.3
Navy,168.3,138.2
Utah St,150.7,138.3
Kent St,175.7,140.3
Oklahoma St,143.0,142.3
Duke,153.0,143.0
S Florida,122.7,146.7
Baylor,161.0,147.7
Bowling Green,84.0,148.9
BYU,105.3,150.9
Air Force,136.3,151.0
Minnesota,151.7,151.4
Ohio St,184.0,151.9
N Illinois,140.0,153.3
Arkansas St,144.3,154.5
Indiana,168.7,154.9
UTSA,121.7,155.9
Northwestern,192.3,156.3
Penn St,211.7,157.3
USC,149.3,157.7
Illinois,201.0,159.0
Washington,182.7,159.2
Tennessee,190.0,160.7
C Michigan,139.7,161.3
Kansas St,249.3,161.8
Middle Tenn,140.0,162.0
Oregon,131.0,162.7
Charlotte,177.7,163.7
Mississippi St,128.3,164.0
Georgia Tech,157.0,164.7
Army,162.7,166.2
California,151.0,166.3
Buffalo,138.7,168.3
Virginia,173.7,169.2
Oklahoma,183.3,169.9
E Carolina,138.0,170.7
Kentucky,155.7,171.5
Syracuse,209.3,172.0
Notre Dame,222.3,174.0
Rutgers,192.0,175.2
Ohio,226.0,175.3
TCU,178.0,178.5
W Kentucky,179.0,178.5
Cincinnati,159.7,178.7
Texas,143.3,179.3
Troy,159.7,181.5
West Virginia,181.7,182.6
Florida Intl,217.3,183.0
Arizona,132.0,183.4
Virginia Tech,145.0,183.9
Tulane,164.7,184.0
Georgia St,224.0,184.0
Nevada,147.0,184.4
UTEP,144.3,185.0
Southern Miss,130.0,186.1
Marshall,155.0,187.0
Wake Forest,218.7,189.9
W Michigan,106.0,191.7
UConn,206.7,194.6
Maryland,142.7,195.5
Iowa St,238.0,197.2
UNLV,157.7,197.5
Ball St,141.3,198.1
Florida Atlantic,222.7,198.6
Miami OH,201.3,199.0
Washington St,268.0,199.0
UCF,249.3,199.3
Texas A&M,228.0,200.1
South Carolina,238.0,200.1
Louisiana,205.7,203.0
UCLA,211.0,203.7
Wyoming,208.0,203.7
Purdue,229.7,204.5
Auburn,177.7,206.3
North Carolina,191.0,210.8
Old Dominion,159.7,215.0
Oregon St,222.3,220.2
Colorado,241.3,221.4
Rice,200.0,225.2
Colorado St,256.0,225.3
Miami,274.7,227.8
S Alabama,221.3,232.0
New Mexico,296.0,235.6
UMass,221.0,235.7
N Texas,248.0,236.0
Hawai'i,219.7,237.3
San Jose St,208.0,239.6
SMU,258.3,242.2
Idaho,177.7,243.8
Tulsa,191.0,249.7
Kansas,235.0,256.8
UL Monroe,258.3,268.3
Fresno St,282.3,268.4
Texas Tech,288.3,276.4
New Mexico St,312.7,291.7
Texas St,308.7,294.4
E Michigan,280.0,340.5
