team,L3,Year
Bowling Green,460.0,434.1
Washington St,476.0,433.0
Texas Tech,374.0,400.6
W Kentucky,384.3,396.9
TCU,373.7,387.3
Memphis,378.7,384.0
Tulsa,350.0,364.0
Cincinnati,275.3,356.0
Baylor,320.3,343.7
Mississippi,360.3,342.0
Southern Miss,308.3,334.4
USC,286.7,326.9
California,341.7,326.0
Oklahoma St,350.0,320.0
UMass,299.0,315.0
Georgia St,298.7,313.4
Oklahoma,253.0,313.1
Louisiana Tech,318.3,306.0
Middle Tenn,312.7,303.1
C Michigan,316.7,301.7
E Carolina,302.3,293.6
Miami,264.7,292.3
UCLA,334.7,285.4
Mississippi St,313.3,284.6
Boise St,302.0,284.0
Indiana,309.0,278.1
BYU,319.3,277.9
Florida Intl,339.3,277.0
Texas A&M,246.7,268.6
Notre Dame,288.0,264.3
West Virginia,216.7,261.2
Nebraska,227.0,260.6
Arizona St,258.3,260.5
Toledo,319.3,257.9
Rice,262.7,257.8
Michigan St,361.0,257.5
Houston,233.0,255.2
Wisconsin,308.3,254.8
Arkansas,213.0,254.3
Idaho,229.3,251.5
Florida,250.0,249.3
Florida St,292.7,247.4
Iowa St,227.3,245.3
Arizona,302.7,245.3
S Alabama,224.7,245.0
Ohio,300.3,244.9
Illinois,282.0,244.0
Clemson,302.3,242.5
Kentucky,289.3,240.5
Rutgers,261.0,239.8
W Michigan,225.7,239.7
SMU,256.7,239.5
North Carolina,244.7,236.6
Colorado,293.3,236.4
Stanford,225.7,233.6
Alabama,215.7,233.4
Florida Atlantic,223.7,232.7
Colorado St,233.0,231.7
Louisville,213.3,230.8
Kansas,226.3,228.7
Buffalo,236.3,226.2
E Michigan,215.7,225.8
Virginia,197.0,225.2
UConn,252.7,224.4
Ball St,266.0,218.1
Ohio St,226.0,217.5
New Mexico St,185.0,217.3
Duke,236.0,216.0
Louisiana,224.3,215.6
UCF,168.3,214.4
Oregon,190.3,214.3
Texas St,195.0,212.6
Utah,240.3,211.0
N Illinois,277.7,208.4
Wake Forest,142.7,207.9
Georgia,187.7,204.3
Iowa,158.3,204.3
Virginia Tech,209.7,203.7
Purdue,159.7,203.2
Miami OH,180.0,203.0
Tennessee,238.3,201.7
UTEP,201.3,201.7
Troy,232.0,200.0
Vanderbilt,163.3,199.3
San Jose St,207.7,198.3
Temple,207.3,196.9
Wyoming,176.0,196.7
Pittsburgh,217.3,194.8
Penn St,233.7,194.6
Minnesota,160.7,194.3
Tulane,171.7,193.8
N Texas,185.7,193.5
NC State,174.3,192.8
Washington,162.3,192.8
UTSA,163.7,191.1
Old Dominion,223.0,189.5
Syracuse,199.7,189.2
UL Monroe,202.7,188.2
App State,256.0,187.7
Michigan,175.7,186.1
Hawai'i,228.0,185.6
South Carolina,222.3,185.3
Utah St,177.7,182.8
Maryland,144.7,178.2
Nevada,193.7,176.9
Marshall,175.3,175.6
Auburn,205.7,173.7
UNLV,154.0,165.0
Arkansas St,145.3,162.7
Oregon St,157.7,160.3
Kansas St,103.0,159.0
Fresno St,160.7,158.9
Akron,185.7,157.7
LSU,238.7,156.9
Missouri,134.0,156.9
S Florida,180.7,154.3
Charlotte,159.3,152.2
Northwestern,151.3,144.7
San Diego St,140.3,143.4
Texas,92.0,141.4
Kent St,126.7,136.3
New Mexico,154.3,127.4
Georgia Tech,110.7,127.1
Air Force,115.0,98.5
Boston College,84.7,90.5
Navy,99.0,75.6
Georgia So,65.7,60.0
Army,35.0,57.0
