team,L3,Year
Utah,3.7,3.4
Rutgers,3.3,3.3
W Michigan,3.0,3.0
San Jose St,3.0,3.0
Clemson,3.7,3.0
Alabama,2.7,2.8
Boise St,3.0,2.8
Pittsburgh,3.0,2.8
Baylor,3.0,2.8
UCLA,3.3,2.8
E Carolina,3.0,2.8
Arkansas St,2.7,2.8
California,3.3,2.8
Virginia Tech,2.0,2.8
West Virginia,3.3,2.8
Nevada,3.7,2.7
Missouri,2.3,2.6
Kentucky,2.3,2.6
Oregon St,3.0,2.5
Arizona St,2.0,2.5
Air Force,2.7,2.5
Kansas St,2.7,2.4
New Mexico,1.7,2.4
Colorado,2.3,2.4
Ohio St,2.7,2.3
Washington St,2.7,2.3
Akron,2.3,2.3
Kent St,3.0,2.3
Syracuse,2.0,2.3
Troy,1.7,2.3
Louisiana Tech,2.3,2.3
Wake Forest,2.7,2.2
Oklahoma,3.0,2.2
Nebraska,2.7,2.2
UTEP,2.3,2.2
LSU,2.0,2.2
UAB,2.0,2.2
Michigan,1.0,2.2
Florida,2.7,2.2
Rice,2.3,2.2
San Diego St,1.7,2.0
Vanderbilt,2.0,2.0
SMU,2.7,2.0
BYU,2.0,2.0
Southern Miss,2.3,2.0
Texas,2.7,2.0
Georgia Tech,2.3,2.0
Ohio,2.3,2.0
Indiana,2.0,2.0
UL Monroe,2.0,2.0
Florida Intl,1.7,1.8
Minnesota,0.3,1.8
C Michigan,2.0,1.8
USC,1.0,1.8
South Carolina,1.3,1.8
Purdue,1.7,1.8
Middle Tenn,2.3,1.8
Houston,1.7,1.8
Memphis,2.3,1.8
Boston College,1.7,1.8
Oklahoma St,1.3,1.8
Tennessee,2.3,1.7
Stanford,2.0,1.7
Louisville,1.7,1.6
Navy,1.3,1.6
Texas A&M,1.0,1.6
Northwestern,2.0,1.6
S Florida,1.3,1.6
Idaho,2.3,1.6
Cincinnati,1.7,1.6
Ball St,2.3,1.6
Arizona,1.0,1.6
Bowling Green,1.0,1.5
UCF,0.7,1.5
Miami OH,1.3,1.5
UNLV,1.7,1.5
N Texas,0.7,1.5
Miami,1.7,1.5
Maryland,1.0,1.5
Virginia,2.0,1.5
Mississippi,2.0,1.5
Notre Dame,1.7,1.5
Illinois,1.0,1.4
Florida St,1.0,1.4
Georgia,1.0,1.4
Kansas,2.3,1.4
Florida Atlantic,0.7,1.4
Iowa St,1.3,1.4
Penn St,1.3,1.4
Toledo,2.0,1.4
Iowa,2.3,1.4
Wisconsin,2.0,1.4
N Illinois,1.0,1.4
Oregon,1.3,1.4
New Mexico St,1.3,1.3
Michigan St,1.0,1.3
Mississippi St,1.3,1.3
North Carolina,1.3,1.3
Colorado St,1.7,1.3
Tulsa,1.7,1.3
UConn,1.3,1.3
Duke,1.0,1.3
Buffalo,1.0,1.2
Tulane,0.7,1.2
Army,0.3,1.2
Utah St,0.7,1.2
Temple,1.3,1.2
Washington,1.3,1.2
Wyoming,1.7,1.2
Hawai'i,1.3,1.0
E Michigan,1.0,1.0
Auburn,0.7,1.0
Louisiana,0.7,1.0
TCU,0.7,1.0
Texas Tech,0.7,1.0
Fresno St,0.7,0.8
NC State,1.0,0.8
Marshall,1.0,0.8
Arkansas,0.3,0.2
