,precision,recall,f1-score,support
0,0.6811188811188811,0.6801675977653632,0.6806429070580013,716.0
1,0.6806136680613668,0.6815642458100558,0.6810886252616888,716.0
accuracy,0.6808659217877095,0.6808659217877095,0.6808659217877095,0.6808659217877095
macro avg,0.6808662745901239,0.6808659217877095,0.6808657661598451,1432.0
weighted avg,0.6808662745901239,0.6808659217877095,0.6808657661598452,1432.0
