team,L3,Year
Alabama,65.0,73.1
Akron,90.3,94.5
Wisconsin,104.7,98.2
Boston College,140.3,98.5
Utah,75.0,108.6
Nebraska,103.0,109.8
Arizona St,129.7,110.1
San Diego St,139.0,111.0
Michigan St,86.7,113.1
Georgia So,111.0,113.8
Boise St,153.7,114.3
Toledo,113.7,116.6
Arkansas,90.0,117.8
Florida,172.3,121.2
Louisiana Tech,190.7,121.4
Iowa,149.3,121.6
Northwestern,41.7,122.2
Michigan,248.7,122.8
Louisville,143.3,123.1
Houston,133.7,123.3
Pittsburgh,76.0,126.3
Ohio St,93.3,127.3
Temple,130.7,128.0
Clemson,120.7,129.8
LSU,180.0,131.5
Missouri,167.3,131.6
Navy,144.3,133.0
Mississippi,165.0,133.9
Washington,67.0,134.8
App State,121.0,139.5
Florida St,140.7,139.7
Stanford,189.0,146.3
C Michigan,154.0,146.9
USC,191.0,147.2
BYU,137.7,148.4
Memphis,109.7,148.6
Oklahoma,150.7,149.2
Penn St,167.3,149.8
Arkansas St,174.0,150.8
Tennessee,127.3,151.2
S Florida,111.7,152.2
Vanderbilt,235.3,153.2
NC State,236.7,153.9
Air Force,250.3,154.5
Baylor,106.0,154.8
Georgia,211.3,155.6
Southern Miss,135.0,156.2
Virginia,144.3,157.7
Utah St,127.7,160.3
Kent St,222.3,160.5
Duke,177.7,162.1
Middle Tenn,208.3,164.4
W Kentucky,160.0,164.4
Georgia Tech,143.0,165.0
Notre Dame,162.7,165.7
UTEP,132.7,168.2
Kansas St,168.0,168.4
UTSA,164.7,168.5
Ohio,183.3,169.9
West Virginia,91.0,170.0
UConn,147.3,170.1
Florida Atlantic,119.7,170.3
Minnesota,227.7,171.6
Wake Forest,164.3,171.8
Maryland,165.7,172.5
Miami OH,121.7,172.9
Illinois,247.3,173.2
Mississippi St,183.7,174.0
E Carolina,166.7,174.1
Marshall,138.0,174.2
Army,189.3,176.1
Georgia St,137.7,176.6
Louisiana,198.3,179.2
N Illinois,257.7,181.1
Bowling Green,223.0,183.0
Virginia Tech,230.3,184.5
Troy,193.0,184.5
Oregon,205.3,185.4
TCU,242.3,186.0
Tulane,193.3,186.6
Buffalo,282.0,189.6
Washington St,150.0,190.5
W Michigan,201.7,190.9
Indiana,279.0,191.3
Iowa St,177.3,192.1
Auburn,185.0,192.3
UMass,119.3,192.9
Oklahoma St,299.0,193.7
Kentucky,198.3,197.5
UCLA,252.7,198.4
Florida Intl,224.3,198.5
Syracuse,238.7,198.7
Nevada,257.0,198.9
Rice,183.3,199.7
Cincinnati,212.0,199.9
Charlotte,313.3,201.2
Rutgers,278.7,204.2
Colorado,164.7,204.8
South Carolina,179.0,205.4
New Mexico,205.7,206.6
San Jose St,178.7,207.0
Arizona,264.0,208.8
California,218.3,210.5
UL Monroe,162.3,212.1
Texas A&M,226.7,212.2
UCF,235.0,212.5
Old Dominion,223.3,212.7
Miami,196.7,213.7
North Carolina,252.3,217.3
Texas,315.0,219.2
Colorado St,218.7,219.5
Purdue,244.3,219.9
Wyoming,234.7,220.5
S Alabama,287.7,225.0
UNLV,300.3,228.1
N Texas,196.3,228.1
Ball St,342.3,236.6
Tulsa,303.3,239.8
Oregon St,295.3,242.3
New Mexico St,164.0,242.4
SMU,266.0,245.3
Hawai'i,169.0,246.1
Fresno St,203.7,252.9
Texas Tech,275.3,267.7
Idaho,296.3,268.5
Texas St,216.7,275.2
Kansas,310.3,276.0
E Michigan,265.3,316.6
