team,L3,Year
N Texas,461.0,461.0
West Virginia,429.0,429.0
Hawai'i,427.0,427.0
W Michigan,379.0,379.0
Wake Forest,378.0,378.0
Colorado St,359.0,359.0
Miami OH,357.0,357.0
UCF,356.0,356.0
Liberty,353.0,353.0
Ohio St,346.0,346.0
Colorado,338.0,338.0
Mississippi,336.0,336.0
Oklahoma,334.0,334.0
Stanford,332.0,332.0
Boston College,326.0,326.0
Texas Tech,322.0,322.0
Houston,320.0,320.0
Utah St,319.0,319.0
Washington St,319.0,319.0
Boise St,305.0,305.0
Alabama,297.0,297.0
Washington,296.0,296.0
South Carolina,294.0,294.0
Oregon,292.0,292.0
App State,292.0,292.0
Rice,292.0,292.0
Michigan St,287.0,287.0
Tulane,283.0,283.0
USC,282.0,282.0
Auburn,273.0,273.0
Marshall,272.0,272.0
Kent St,270.0,270.0
Purdue,270.0,270.0
UConn,266.0,266.0
Maryland,264.0,264.0
Texas,263.0,263.0
Miami,259.0,259.0
Wisconsin,257.0,257.0
Troy,255.0,255.0
Bowling Green,253.0,253.0
Louisville,252.0,252.0
SMU,252.0,252.0
Indiana,252.0,252.0
Michigan,249.0,249.0
UMass,249.0,249.0
Arizona St,237.0,237.0
Northwestern,235.0,235.0
Penn St,230.0,230.0
Minnesota,227.0,227.0
Syracuse,226.0,226.0
UTSA,218.0,218.0
Louisiana Tech,209.0,209.0
BYU,209.0,209.0
Rutgers,205.0,205.0
Duke,197.0,197.0
Army,197.0,197.0
Arizona,197.0,197.0
Oregon St,196.0,196.0
Florida Atlantic,192.0,192.0
Illinois,190.0,190.0
New Mexico St,188.5,188.5
W Kentucky,181.0,181.0
Middle Tenn,178.0,178.0
Old Dominion,172.0,172.0
Tennessee,172.0,172.0
Vanderbilt,170.0,170.0
Notre Dame,170.0,170.0
UCLA,162.0,162.0
Florida Intl,157.0,157.0
Iowa,143.0,143.0
LSU,140.0,140.0
North Carolina,137.0,137.0
C Michigan,137.0,137.0
Kentucky,128.0,128.0
California,119.0,119.0
San Diego St,113.0,113.0
Coastal Car,112.0,112.0
Cincinnati,110.0,110.0
N Illinois,110.0,110.0
Wyoming,102.0,102.0
Texas St,100.0,100.0
UNLV,97.0,97.0
S Alabama,91.0,91.0
Navy,85.0,85.0
