team,L3,Year
Oregon St,0.3,0.2
Iowa,0.7,0.5
Maryland,0.0,0.5
Army,0.3,0.7
Kansas St,1.0,0.8
Oklahoma,0.3,0.8
Minnesota,0.7,0.8
Wisconsin,0.0,0.8
Southern Miss,0.3,0.8
TCU,0.7,0.8
UTEP,1.0,0.8
Boise St,0.3,0.8
Baylor,0.7,0.8
Virginia Tech,1.0,0.8
Washington,1.3,1.0
W Kentucky,0.7,1.0
Kentucky,2.0,1.0
Utah St,0.7,1.0
San Diego St,1.3,1.0
Alabama,1.0,1.2
Georgia,1.3,1.2
Ohio St,1.7,1.2
UNLV,1.3,1.2
N Illinois,1.0,1.2
Georgia Tech,1.3,1.2
Tulsa,1.0,1.2
Michigan,2.0,1.2
Nebraska,1.7,1.3
West Virginia,1.0,1.3
Indiana,1.3,1.3
Kansas,1.3,1.3
Rutgers,1.0,1.3
Virginia,1.3,1.3
Tennessee,1.0,1.4
Vanderbilt,1.7,1.4
Wyoming,1.7,1.4
New Mexico St,1.7,1.4
Michigan St,1.3,1.4
North Carolina,1.0,1.4
Hawai'i,1.7,1.4
Air Force,1.7,1.4
Washington St,1.7,1.4
Nevada,2.3,1.4
Akron,2.3,1.4
Northwestern,1.7,1.4
Louisiana,1.3,1.4
BYU,1.3,1.5
San Jose St,1.7,1.5
Cincinnati,1.7,1.5
California,1.7,1.5
Mississippi,1.7,1.5
Arizona,1.7,1.5
Louisville,1.3,1.5
Miami OH,1.3,1.5
Navy,1.3,1.5
Florida St,1.3,1.6
Florida Atlantic,2.0,1.6
Wake Forest,1.3,1.6
UConn,2.0,1.6
USC,1.7,1.7
SMU,1.3,1.7
Arkansas St,2.0,1.7
Auburn,1.3,1.7
South Carolina,2.0,1.8
Fresno St,2.0,1.8
Purdue,1.7,1.8
Clemson,2.0,1.8
Illinois,1.0,1.8
Missouri,2.0,1.8
Texas Tech,2.0,1.8
Stanford,3.0,1.8
Utah,1.7,1.8
Mississippi St,2.0,1.8
Iowa St,1.0,1.8
Troy,1.0,1.8
Temple,2.0,1.8
NC State,2.3,1.8
Memphis,2.3,1.8
Rice,1.3,1.8
Florida,2.3,1.8
N Texas,1.3,1.8
Florida Intl,1.3,2.0
Marshall,2.0,2.0
Oregon,2.7,2.0
Notre Dame,1.7,2.0
Colorado,1.3,2.0
Syracuse,2.0,2.0
Pittsburgh,2.0,2.0
Colorado St,1.3,2.0
UCF,1.3,2.0
Tulane,2.0,2.0
E Michigan,1.3,2.0
E Carolina,3.0,2.0
Penn St,1.0,2.0
Arkansas,1.7,2.0
S Florida,1.0,2.0
Oklahoma St,2.0,2.2
UAB,2.7,2.2
Kent St,1.3,2.3
Middle Tenn,2.3,2.3
Ball St,2.3,2.3
LSU,2.7,2.3
Toledo,2.7,2.3
C Michigan,2.7,2.4
Texas,3.7,2.4
Boston College,2.7,2.5
UL Monroe,2.7,2.5
UCLA,2.0,2.5
Miami,2.0,2.5
Ohio,1.3,2.6
Bowling Green,3.0,2.7
Duke,2.7,2.8
Houston,3.0,2.8
W Michigan,3.0,2.8
Arizona St,3.7,2.8
Louisiana Tech,2.3,2.8
Idaho,2.0,3.0
New Mexico,3.7,3.3
Buffalo,4.0,3.5
Texas A&M,4.3,4.3
