team,L3,Year
Air Force,302.0,310.1
Mississippi,246.0,258.3
Army,258.0,253.9
Navy,254.0,250.9
Arkansas,280.7,239.8
UCLA,232.3,239.8
Michigan,221.0,238.9
UAB,197.3,235.7
UCF,206.0,223.1
Oklahoma,212.7,219.4
Utah,263.3,215.5
Georgia St,109.7,213.8
Oregon,137.0,211.8
Tulane,260.0,208.3
Georgia,220.3,208.2
TCU,204.0,206.4
Boise St,225.0,202.5
Louisville,214.3,201.5
Kansas St,209.0,201.5
Minnesota,165.0,200.0
Tennessee,212.7,199.3
Auburn,280.0,198.6
S Florida,245.3,198.5
Florida St,215.7,198.1
Oregon St,218.7,195.5
Florida,115.3,193.4
Ohio St,140.7,192.4
App State,233.0,191.9
N Illinois,169.7,190.7
Alabama,152.0,190.1
Kent St,177.0,189.1
Notre Dame,211.7,189.0
N Texas,169.0,188.5
Texas,228.7,188.2
Marshall,247.7,188.0
Wyoming,156.7,184.1
UConn,202.3,184.1
J Madison,184.7,181.9
Duke,119.7,181.3
Penn St,189.3,181.2
Clemson,156.3,180.8
UTSA,150.0,180.5
LSU,153.0,180.3
Liberty,108.3,178.9
Wisconsin,212.0,176.3
Baylor,125.0,176.2
Pittsburgh,189.0,175.5
Kansas,97.3,174.3
Toledo,169.3,173.9
BYU,241.3,173.2
USC,130.7,171.3
Coastal Car,109.3,169.3
Florida Atlantic,163.3,168.2
UTEP,247.3,167.4
Illinois,108.7,166.9
E Carolina,170.3,162.4
Utah St,158.7,162.3
Texas Tech,170.0,161.2
Vanderbilt,195.3,158.9
West Virginia,202.0,158.4
New Mexico St,199.7,154.4
S Alabama,135.3,154.1
SMU,141.7,151.8
Missouri,174.0,151.8
C Michigan,207.7,148.9
W Kentucky,133.7,148.8
UMass,123.7,147.9
Ball St,182.0,147.3
Louisiana,143.3,144.8
Texas A&M,191.7,144.7
E Michigan,145.0,143.2
Ohio,162.7,142.8
North Carolina,120.0,142.2
Arizona,162.7,142.1
Houston,111.3,142.1
Maryland,98.0,141.6
Hawai'i,148.3,141.1
Buffalo,111.3,140.8
W Michigan,173.3,139.2
Southern Miss,243.0,138.4
Washington,218.7,138.1
Georgia So,123.3,137.2
Tulsa,139.0,136.4
UNLV,143.0,136.4
Rice,104.3,135.7
Miami OH,137.0,134.8
Memphis,125.7,133.8
Fresno St,132.0,129.5
Wake Forest,142.7,126.4
San Diego St,77.0,124.0
Arizona St,145.3,123.3
Syracuse,141.7,122.7
Georgia Tech,118.3,122.6
Oklahoma St,111.7,122.1
Cincinnati,136.7,121.7
Northwestern,129.3,121.5
Troy,136.0,121.3
Kentucky,105.0,117.3
UL Monroe,89.0,116.4
Charlotte,137.7,114.7
Nevada,151.7,114.4
South Carolina,94.0,114.1
Virginia Tech,139.3,114.0
Michigan St,154.7,113.2
Purdue,94.0,113.2
Miami,117.7,112.5
Nebraska,63.7,112.5
Virginia,99.0,111.1
Rutgers,106.3,110.9
New Mexico,70.7,109.9
Colorado,92.0,109.4
Louisiana Tech,156.3,109.1
Florida Intl,100.3,108.5
Washington St,93.7,105.5
NC State,54.3,105.2
Texas St,151.3,102.9
Iowa St,115.3,101.8
Stanford,68.0,101.7
San Jose St,135.7,100.2
Middle Tenn,90.3,99.4
Indiana,207.3,99.2
Iowa,83.3,97.8
Bowling Green,61.3,94.8
Old Dominion,86.7,94.6
California,63.0,92.0
Colorado St,87.0,91.8
Akron,138.3,88.8
Mississippi St,86.7,83.1
Temple,43.3,76.6
Arkansas St,75.0,65.4
Boston College,48.0,60.5
