team,L3,Year
Michigan St,26.0,26.0
San Diego St,43.0,43.0
Washington St,60.0,60.0
UCF,84.0,84.0
Florida St,92.0,92.0
W Michigan,98.0,98.0
W Kentucky,98.5,98.5
Vanderbilt,104.0,104.0
E Carolina,111.0,111.0
C Michigan,114.0,114.0
West Virginia,115.0,115.0
Alabama,121.5,121.5
Florida,124.0,124.0
Virginia Tech,127.0,127.0
Miami OH,129.0,129.0
BYU,133.5,133.5
UConn,141.0,141.0
Texas,143.0,143.0
Navy,153.0,153.0
Mississippi St,160.0,160.0
Penn St,163.0,163.0
Oregon,165.5,165.5
Virginia,171.0,171.0
Kent St,172.5,172.5
Ohio St,173.5,173.5
Arkansas St,179.0,179.0
Buffalo,179.0,179.0
Colorado St,179.0,179.0
Army,183.0,183.0
Indiana,185.5,185.5
San Jose St,188.5,188.5
Oregon St,189.0,189.0
Toledo,189.0,189.0
Boston College,192.0,192.0
N Illinois,193.5,193.5
Kentucky,194.0,194.0
Maryland,195.0,195.0
Georgia Tech,195.0,195.0
Georgia,201.5,201.5
Akron,202.0,202.0
Arkansas,202.0,202.0
Wisconsin,203.5,203.5
Air Force,206.0,206.0
Iowa St,207.0,207.0
Auburn,209.5,209.5
UAB,212.0,212.0
UCLA,212.5,212.5
USC,215.0,215.0
Middle Tenn,216.5,216.5
Colorado,224.0,224.0
New Mexico St,224.5,224.5
Mississippi,225.0,225.0
Southern Miss,225.5,225.5
Louisiana Tech,226.0,226.0
Temple,227.0,227.0
Bowling Green,228.0,228.0
Tennessee,230.0,230.0
Rice,230.0,230.0
Notre Dame,233.0,233.0
Boise St,236.0,236.0
LSU,240.0,240.0
Fresno St,242.5,242.5
North Carolina,243.0,243.0
UTEP,244.0,244.0
Tulane,246.0,246.0
Wake Forest,246.5,246.5
Houston,247.0,247.0
Louisville,248.0,248.0
Michigan,249.0,249.0
Baylor,251.0,251.0
Nebraska,254.0,254.0
South Carolina,254.0,254.0
Stanford,257.5,257.5
Clemson,258.0,258.0
Florida Atlantic,258.5,258.5
SMU,261.0,261.0
Utah,264.0,264.0
Texas A&M,268.0,268.0
Hawai'i,269.0,269.0
S Florida,269.5,269.5
Oklahoma,271.0,271.0
Troy,271.0,271.0
Rutgers,273.0,273.0
New Mexico,275.5,275.5
Pittsburgh,276.0,276.0
Iowa,279.0,279.0
Marshall,279.0,279.0
UL Monroe,280.0,280.0
Florida Intl,283.5,283.5
Purdue,286.0,286.0
Utah St,286.0,286.0
Louisiana,286.0,286.0
Illinois,290.0,290.0
TCU,290.5,290.5
Idaho,291.0,291.0
Missouri,291.0,291.0
Minnesota,296.0,296.0
Tulsa,296.5,296.5
Duke,299.0,299.0
Oklahoma St,305.0,305.0
California,312.0,312.0
Kansas,315.0,315.0
Arizona St,319.0,319.0
Ball St,322.0,322.0
Syracuse,326.0,326.0
Nevada,331.0,331.0
Washington,333.0,333.0
NC State,337.0,337.0
Miami,348.0,348.0
Memphis,355.5,355.5
Ohio,362.0,362.0
UNLV,364.5,364.5
Northwestern,375.0,375.0
N Texas,378.0,378.0
Arizona,397.0,397.0
Cincinnati,405.0,405.0
