team,L3,Year
West Virginia,0.0,0.0
Michigan St,0.0,0.0
Utah St,0.0,0.0
Bowling Green,0.0,0.0
Rutgers,0.0,0.0
UCF,0.0,0.0
Texas A&M,0.0,0.0
San Diego St,0.0,0.0
Louisiana Tech,0.0,0.0
Wisconsin,0.0,0.0
Cincinnati,0.0,0.0
Stanford,0.5,0.5
Colorado,0.5,0.5
Florida Atlantic,0.5,0.5
Auburn,0.5,0.5
Missouri,0.5,0.5
UNLV,0.5,0.5
Purdue,1.0,1.0
Georgia Tech,1.0,1.0
UL Monroe,1.0,1.0
Duke,1.0,1.0
Clemson,1.0,1.0
TCU,1.0,1.0
Arizona,1.0,1.0
Utah,1.0,1.0
Syracuse,1.0,1.0
Boise St,1.0,1.0
Illinois,1.0,1.0
Pittsburgh,1.0,1.0
Buffalo,1.0,1.0
Mississippi St,1.0,1.0
Florida St,1.0,1.0
W Michigan,1.0,1.0
LSU,1.0,1.0
UAB,1.0,1.0
Oregon St,1.0,1.0
Baylor,1.0,1.0
Arizona St,1.0,1.0
Kansas,1.0,1.0
Colorado St,1.0,1.0
Ohio St,1.0,1.0
Wake Forest,1.0,1.0
Washington St,1.0,1.0
Temple,1.0,1.0
Northwestern,1.0,1.0
NC State,1.0,1.0
Toledo,1.0,1.0
S Florida,1.0,1.0
Oklahoma,1.0,1.0
Washington,1.0,1.0
Florida Intl,1.0,1.0
Iowa,1.0,1.0
Marshall,1.0,1.0
Maryland,1.0,1.0
N Illinois,1.0,1.0
Fresno St,1.5,1.5
Texas,1.5,1.5
Rice,1.5,1.5
New Mexico,1.5,1.5
Indiana,1.5,1.5
Ball St,1.5,1.5
Houston,1.5,1.5
New Mexico St,1.5,1.5
Hawai'i,1.5,1.5
Michigan,1.5,1.5
UCLA,1.5,1.5
Florida,1.5,1.5
Akron,1.5,1.5
Memphis,1.5,1.5
BYU,1.5,1.5
Boston College,1.5,1.5
Minnesota,1.5,1.5
California,1.5,1.5
Middle Tenn,2.0,2.0
Ohio,2.0,2.0
Mississippi,2.0,2.0
UTEP,2.0,2.0
Louisville,2.0,2.0
Georgia,2.0,2.0
Air Force,2.0,2.0
Virginia Tech,2.0,2.0
Miami OH,2.0,2.0
N Texas,2.0,2.0
Arkansas,2.0,2.0
Tennessee,2.0,2.0
USC,2.0,2.0
Nebraska,2.0,2.0
C Michigan,2.0,2.0
Oregon,2.0,2.0
Oklahoma St,2.0,2.0
Kent St,2.5,2.5
Kentucky,2.5,2.5
Tulsa,2.5,2.5
Louisiana,2.5,2.5
SMU,2.5,2.5
San Jose St,2.5,2.5
Arkansas St,2.5,2.5
Alabama,2.5,2.5
Iowa St,3.0,3.0
Troy,3.0,3.0
Tulane,3.0,3.0
Army,3.0,3.0
E Carolina,3.0,3.0
Navy,3.0,3.0
Nevada,3.0,3.0
Penn St,3.0,3.0
Vanderbilt,3.0,3.0
Idaho,3.0,3.0
South Carolina,3.0,3.0
UConn,4.0,4.0
Miami,4.0,4.0
Southern Miss,4.0,4.0
Virginia,4.0,4.0
W Kentucky,4.5,4.5
Notre Dame,5.0,5.0
North Carolina,5.0,5.0
