team,L3,Year
Houston,447.0,428.4
Texas Tech,413.7,415.0
Hawai'i,319.3,382.4
Kansas,401.3,372.4
Bowling Green,423.7,341.1
Duke,372.3,320.8
Texas A&M,310.7,320.5
Notre Dame,307.7,315.8
Toledo,297.3,310.6
BYU,294.7,305.7
Cincinnati,260.7,301.8
SMU,235.3,296.6
Florida St,322.7,292.2
Troy,318.3,282.8
Oklahoma,301.3,277.4
Texas,243.0,275.0
Michigan St,226.7,274.2
Missouri,291.0,274.0
Arkansas,256.3,273.6
Florida Atlantic,305.3,272.2
UNLV,268.0,272.0
Arizona,351.0,272.0
W Michigan,290.0,269.5
Purdue,297.7,267.3
Northwestern,235.3,264.5
Miami,215.0,260.2
Idaho,262.0,259.4
Middle Tenn,240.0,258.3
Wake Forest,272.7,253.7
Florida Intl,286.3,252.3
Buffalo,232.0,251.0
Oregon St,269.7,251.0
USC,303.3,248.8
C Michigan,274.7,246.8
San Diego St,250.0,245.8
Washington,233.3,243.1
Penn St,220.0,242.0
West Virginia,190.7,241.6
Utah St,245.7,238.4
Louisville,252.7,236.8
NC State,262.0,236.4
Maryland,226.7,234.3
Nebraska,224.3,233.0
Tulsa,203.7,232.0
Arizona St,274.3,231.8
Miami OH,209.3,229.9
Iowa,266.0,228.8
Stanford,286.0,228.7
Boise St,210.0,228.2
Colorado St,197.7,227.2
Indiana,244.3,227.2
Georgia,202.3,226.7
South Carolina,222.3,226.2
Utah,208.0,222.5
Southern Miss,206.0,222.0
Oklahoma St,244.3,221.6
Auburn,154.3,217.6
Colorado,184.0,217.5
Wisconsin,184.0,216.8
California,178.0,216.8
San Jose St,242.3,216.6
Tulane,210.3,216.2
Rice,219.3,216.1
N Texas,256.0,216.0
Pittsburgh,221.0,214.0
Syracuse,255.0,213.4
S Florida,210.3,209.8
E Carolina,199.3,209.7
Tennessee,263.7,209.0
Baylor,251.0,208.2
UTEP,213.0,206.7
Virginia,197.0,204.6
Arkansas St,228.3,204.0
Memphis,243.0,203.5
TCU,203.7,202.8
Alabama,131.3,202.7
Florida,174.0,201.8
New Mexico,258.0,200.3
Mississippi,238.3,199.8
North Carolina,185.7,197.5
Ohio,169.0,196.8
UCF,218.7,195.2
Washington St,143.3,193.8
UCLA,220.0,193.7
Illinois,220.3,192.8
Rutgers,174.7,191.8
UL Monroe,210.0,190.6
Minnesota,148.7,190.3
Kansas St,188.7,189.2
Iowa St,223.7,188.2
Nevada,189.7,186.7
Wyoming,176.3,186.2
Ball St,200.7,185.2
Clemson,190.7,182.3
Michigan,190.0,179.2
Fresno St,137.3,177.6
Virginia Tech,230.7,176.3
Kent St,198.3,174.3
UConn,205.7,173.6
Ohio St,155.7,173.0
Mississippi St,197.7,171.2
LSU,180.3,171.2
Akron,171.3,167.4
Boston College,172.0,165.3
N Illinois,158.7,164.8
Louisiana,148.7,158.8
Oregon,188.7,157.5
Kentucky,132.7,152.0
Louisiana Tech,150.3,151.2
E Michigan,144.0,144.8
Temple,141.3,144.8
Vanderbilt,129.0,144.5
Marshall,161.0,138.8
W Kentucky,178.3,133.6
Georgia Tech,149.3,131.2
UAB,72.7,129.0
New Mexico St,98.3,120.5
Navy,56.7,88.3
Army,49.3,66.1
Air Force,39.0,61.0
