team,L3,Year
Temple,5.0,5.0
TCU,5.0,5.0
Florida,4.0,4.0
Minnesota,3.3,3.3
S Florida,3.0,3.0
Mississippi,3.0,3.0
Notre Dame,3.0,3.0
Michigan St,3.0,3.0
Louisville,3.0,3.0
Arizona St,3.0,3.0
Oklahoma,3.3,2.8
N Texas,2.7,2.7
Florida Intl,2.5,2.5
Utah,2.5,2.5
Boise St,2.3,2.5
Ohio St,2.3,2.3
Tulane,2.3,2.3
Auburn,2.3,2.3
Louisiana Tech,2.3,2.3
USC,2.3,2.3
Washington,2.3,2.3
Marshall,2.3,2.3
Maryland,2.3,2.3
Oregon,2.3,2.3
Texas,2.3,2.3
Kent St,2.3,2.3
Georgia Tech,2.3,2.3
Duke,2.3,2.3
Houston,2.3,2.3
Utah St,2.3,2.3
Mississippi St,2.0,2.3
Miami OH,2.0,2.0
Wake Forest,2.0,2.0
Missouri,2.0,2.0
Akron,2.0,2.0
Miami,2.0,2.0
Tennessee,2.0,2.0
Memphis,2.0,2.0
BYU,2.0,2.0
San Jose St,2.0,2.0
Southern Miss,2.0,2.0
Virginia,2.0,2.0
Cincinnati,2.0,2.0
California,2.0,2.0
Ball St,2.0,2.0
UTEP,2.0,2.0
New Mexico St,2.0,2.0
North Carolina,2.0,2.0
Oregon St,2.0,2.0
Baylor,2.0,2.0
UCF,2.0,2.0
Penn St,2.0,1.8
Army,1.7,1.7
S Alabama,1.7,1.7
NC State,1.7,1.7
Arkansas,1.7,1.7
Wyoming,1.7,1.7
UL Monroe,1.7,1.7
UTSA,1.7,1.7
Illinois,1.7,1.7
LSU,1.7,1.7
Georgia,1.7,1.7
Virginia Tech,1.7,1.7
San Diego St,1.5,1.5
Nevada,1.5,1.5
Wisconsin,1.5,1.5
Oklahoma St,1.5,1.5
Indiana,1.5,1.5
Clemson,1.5,1.5
Florida St,1.5,1.5
App State,1.5,1.5
Kansas,1.5,1.5
E Carolina,1.3,1.3
UConn,1.3,1.3
Arkansas St,1.3,1.3
C Michigan,1.3,1.3
Pittsburgh,1.3,1.3
Bowling Green,1.3,1.3
Hawai'i,1.3,1.3
Rutgers,1.3,1.3
Navy,1.3,1.3
Vanderbilt,1.0,1.3
Florida Atlantic,1.7,1.3
E Michigan,1.0,1.0
UCLA,1.0,1.0
Texas St,1.0,1.0
UNLV,1.0,1.0
Northwestern,1.0,1.0
W Kentucky,1.0,1.0
SMU,1.0,1.0
Nebraska,1.0,1.0
Iowa,1.0,1.0
Alabama,1.3,1.0
Georgia St,1.0,1.0
South Carolina,1.3,1.0
Fresno St,1.0,1.0
West Virginia,1.0,1.0
Kansas St,1.0,1.0
New Mexico,1.0,1.0
Purdue,1.0,1.0
Middle Tenn,1.0,1.0
Ohio,1.3,1.0
Kentucky,1.0,1.0
Arizona,1.0,1.0
Texas Tech,1.0,1.0
Stanford,1.0,1.0
Syracuse,1.0,1.0
Colorado,1.0,1.0
Buffalo,1.0,1.0
UAB,1.0,1.0
Georgia So,1.0,1.0
Iowa St,1.0,1.0
UMass,0.7,0.8
Toledo,0.7,0.7
Old Dominion,0.7,0.7
Boston College,0.7,0.7
Idaho,0.7,0.7
N Illinois,0.7,0.7
Tulsa,0.7,0.7
Troy,0.7,0.7
W Michigan,0.5,0.5
Colorado St,0.5,0.5
Air Force,0.5,0.5
Michigan,0.7,0.5
Washington St,0.3,0.3
Texas A&M,0.3,0.3
Louisiana,0.3,0.3
Rice,0.3,0.3
