team,L3,Year
Georgia,57.3,64.3
Wisconsin,105.7,64.3
San Diego St,84.3,70.4
Colorado St,76.7,71.0
Army,87.3,78.0
UTSA,82.7,80.0
Minnesota,78.3,86.8
Iowa,96.7,89.7
UTEP,65.0,90.0
NC State,113.3,93.2
UCLA,137.0,95.3
Troy,91.7,96.8
Alabama,57.0,97.8
Oklahoma St,102.3,98.2
Air Force,79.7,99.3
Pittsburgh,107.7,100.2
Oregon St,114.7,104.0
Mississippi St,140.0,107.0
Iowa St,144.0,107.8
Kansas St,159.3,108.4
Kentucky,161.3,110.7
Liberty,116.0,110.7
Coastal Car,41.7,112.2
Oklahoma,137.0,112.3
Michigan St,105.7,112.3
West Virginia,102.7,115.0
Purdue,128.0,117.7
Michigan,126.3,118.3
UAB,113.3,119.0
Clemson,123.3,119.4
Houston,109.0,119.6
Penn St,121.0,121.2
Notre Dame,99.0,123.7
Cincinnati,107.7,128.8
Boston College,149.7,130.8
Ohio St,81.0,131.3
W Michigan,106.7,131.7
Maryland,153.7,131.8
Baylor,125.3,133.8
Old Dominion,118.0,134.3
San Jose St,124.3,134.5
Syracuse,159.0,135.2
Indiana,134.0,135.6
Oregon,160.3,136.8
C Michigan,161.7,137.0
Texas A&M,93.7,138.4
Navy,142.7,138.7
S Alabama,186.3,138.8
Auburn,155.3,139.5
Nevada,92.3,139.8
Florida,182.0,140.9
Nebraska,141.0,141.4
Fresno St,170.7,141.7
Arizona St,146.3,142.3
SMU,153.3,142.8
Toledo,131.0,143.0
Hawai'i,106.7,146.0
Utah,103.3,147.6
USC,194.0,148.3
Rutgers,201.3,149.3
California,138.3,149.4
Southern Miss,206.0,151.5
Tulsa,136.0,151.5
Louisiana Tech,170.0,151.8
Georgia Tech,147.0,152.8
Tennessee,168.7,152.8
Virginia Tech,184.7,153.2
BYU,155.0,153.4
App State,169.0,153.6
Louisiana,166.0,156.0
Memphis,197.0,157.2
North Carolina,175.0,159.3
Duke,147.3,160.0
UNLV,109.7,160.6
Miami OH,56.0,162.3
Georgia So,123.3,162.8
Louisville,139.0,163.4
Illinois,168.3,163.7
Washington St,168.7,165.2
E Carolina,167.7,165.8
Wyoming,161.3,169.2
LSU,210.3,170.8
Georgia St,150.3,171.3
South Carolina,169.3,172.2
Arkansas,244.0,174.9
Miami,200.7,175.2
Colorado,170.7,177.2
Florida St,199.7,177.8
Ball St,126.0,177.8
Wake Forest,222.0,180.4
New Mexico,258.0,181.3
Texas Tech,211.0,183.5
New Mexico St,165.3,187.5
N Texas,182.3,189.0
Vanderbilt,163.3,190.8
Texas St,196.0,194.0
N Illinois,111.3,195.2
W Kentucky,167.7,195.2
Boise St,182.7,198.3
Temple,207.0,202.4
Texas,242.7,203.0
Washington,208.7,203.4
Virginia,170.7,203.8
Florida Intl,225.7,205.0
Stanford,197.7,205.9
Middle Tenn,210.7,206.2
E Michigan,189.3,206.3
UCF,275.0,207.2
UL Monroe,284.0,212.8
Arizona,211.0,213.0
Mississippi,260.7,215.2
UConn,185.3,216.5
Buffalo,225.0,219.3
Bowling Green,233.0,220.2
UMass,233.0,225.8
Rice,248.3,226.8
Kent St,236.0,226.8
Tulane,216.7,228.8
Utah St,196.0,234.8
Charlotte,178.0,236.4
Florida Atlantic,216.0,237.4
Ohio,151.3,238.3
TCU,239.0,240.0
Northwestern,223.0,243.6
S Florida,191.3,246.0
Akron,250.0,246.7
Marshall,231.3,246.7
Kansas,271.7,267.4
Missouri,309.7,286.3
Arkansas St,368.3,313.6
