team,L3,Year
Texas,15.0,15.0
Ohio St,20.0,20.0
LSU,50.0,50.0
UTEP,67.0,67.0
Baylor,91.0,91.0
Nebraska,95.0,95.0
UL Monroe,97.0,97.0
New Mexico,116.0,116.0
Houston,121.0,121.0
Michigan,127.0,127.0
Clemson,131.0,131.0
Colorado,134.0,134.0
Tennessee,144.0,144.0
Boston College,147.0,147.0
Troy,152.0,152.0
USC,160.0,160.0
Hawai'i,162.0,162.0
UMass,173.0,173.0
Auburn,175.0,175.0
W Michigan,181.0,181.0
Georgia,189.0,189.0
Wake Forest,189.0,189.0
N Texas,190.0,190.0
Oklahoma,191.0,191.0
NC State,192.0,192.0
UAB,201.0,201.0
Florida St,203.0,203.0
Vanderbilt,207.0,207.0
Washington,207.0,207.0
App State,210.0,210.0
Mississippi St,212.0,212.0
Penn St,222.0,222.0
Temple,224.0,224.0
Navy,226.0,226.0
Notre Dame,226.0,226.0
UTSA,234.0,234.0
Wisconsin,239.0,239.0
Colorado St,241.0,241.0
Virginia,242.0,242.0
Purdue,243.0,243.0
California,246.0,246.0
West Virginia,250.0,250.0
Arizona,252.0,252.0
Louisiana Tech,253.0,253.0
Miami OH,261.0,261.0
Tulsa,262.0,262.0
Kent St,262.0,262.0
Ohio,264.0,264.0
Mississippi,264.0,264.0
UCLA,266.0,266.0
Utah St,273.0,273.0
Washington St,281.0,281.0
BYU,284.0,284.0
Florida Atlantic,286.0,286.0
Georgia So,291.0,291.0
Arkansas,293.0,293.0
Rice,295.0,295.0
Northwestern,300.0,300.0
UConn,308.0,308.0
SMU,313.0,313.0
W Kentucky,314.0,314.0
Marshall,318.0,318.0
Southern Miss,349.0,349.0
Alabama,365.0,365.0
Texas A&M,366.0,366.0
Oklahoma St,370.0,370.0
Boise St,387.0,387.0
Fresno St,424.0,424.0
UNLV,434.0,434.0
Tulane,438.0,438.0
UCF,454.0,454.0
South Carolina,511.0,511.0
Rutgers,532.0,532.0
Bowling Green,569.0,569.0
