,precision,recall,f1-score,support
0,0.46906474820143884,0.482962962962963,0.4759124087591241,675.0
1,0.5245231607629428,0.5106100795755968,0.5174731182795699,754.0
accuracy,0.49755073477956613,0.49755073477956613,0.49755073477956613,0.49755073477956613
macro avg,0.4967939544821908,0.4967865212692799,0.496692763519347,1429.0
weighted avg,0.49832691969995113,0.49755073477956613,0.49784157249489464,1429.0
