,precision,recall,f1-score,support
0,0.5014409221902018,0.48535564853556484,0.49326718639262934,717.0
1,0.49795918367346936,0.5140449438202247,0.5058742225293711,712.0
accuracy,0.4996501049685094,0.4996501049685094,0.4996501049685094,0.4996501049685094
macro avg,0.49970005293183556,0.4997002961778948,0.4995707044610002,1429.0
weighted avg,0.4997061441468753,0.4996501049685094,0.49954864876446986,1429.0
