,precision,recall,f1-score,support
0,0.5194630872483221,0.542016806722689,0.5305003427004797,714.0
1,0.5219298245614035,0.4993006993006993,0.5103645461043602,715.0
accuracy,0.5206438068579426,0.5206438068579426,0.5206438068579426,0.5206438068579426
macro avg,0.5206964559048628,0.5206587530116942,0.52043244440242,1429.0
weighted avg,0.5206973190039926,0.5206438068579426,0.5204253989872359,1429.0
