team,L3,Year
Auburn,14.6,14.6
Alabama,14.1,14.1
LSU,12.1,12.1
Mississippi,11.3,11.3
Arkansas,11.2,11.2
Oklahoma,10.4,10.4
Baylor,10.3,10.3
Tennessee,10.0,10.0
Texas A&M,9.9,9.9
Georgia,9.7,9.7
Mississippi St,9.3,9.3
UCLA,9.2,9.2
Oregon,9.1,9.1
West Virginia,9.0,9.0
TCU,8.9,8.9
Utah,8.8,8.8
Florida,8.7,8.7
Kansas St,7.8,7.8
Stanford,7.6,7.6
South Carolina,6.8,6.8
USC,6.7,6.7
Arizona St,6.3,6.3
Texas,6.2,6.2
Michigan St,6.1,6.1
Miami,6.0,6.0
Clemson,5.6,5.6
California,5.5,5.5
Arizona,5.2,5.2
Ohio St,5.0,5.0
Washington St,4.9,4.9
Florida St,4.2,4.2
Missouri,4.2,4.2
Notre Dame,3.5,3.5
Washington,3.3,3.3
Virginia Tech,3.2,3.2
Maryland,3.0,3.0
Nebraska,2.9,2.9
Virginia,2.6,2.6
Northwestern,2.6,2.6
North Carolina,2.5,2.5
Louisville,2.3,2.3
Kentucky,2.1,2.1
Wisconsin,1.9,1.9
Colorado,1.9,1.9
Georgia Tech,1.9,1.9
Texas Tech,1.2,1.2
Iowa St,1.1,1.1
Michigan,1.0,1.0
Oregon St,1.0,1.0
Memphis,0.7,0.7
Oklahoma St,0.3,0.3
Rutgers,0.1,0.1
Duke,-0.1,-0.1
Syracuse,-0.3,-0.3
Boston College,-0.4,-0.4
BYU,-0.8,-0.8
Minnesota,-1.0,-1.0
Penn St,-1.1,-1.1
Pittsburgh,-1.5,-1.5
Purdue,-1.5,-1.5
Boise St,-1.7,-1.7
Indiana,-1.8,-1.8
Nevada,-2.2,-2.2
Kansas,-2.2,-2.2
NC State,-2.5,-2.5
Cincinnati,-2.9,-2.9
Navy,-3.1,-3.1
E Carolina,-3.1,-3.1
Temple,-3.1,-3.1
Louisiana Tech,-3.2,-3.2
Illinois,-3.3,-3.3
UCF,-3.5,-3.5
Vanderbilt,-3.6,-3.6
Iowa,-4.1,-4.1
Colorado St,-4.9,-4.9
Utah St,-4.9,-4.9
Tulane,-5.3,-5.3
Hawai'i,-5.4,-5.4
Houston,-5.7,-5.7
SMU,-5.8,-5.8
Wake Forest,-6.0,-6.0
Fresno St,-6.7,-6.7
Wyoming,-7.0,-7.0
Middle Tenn,-7.1,-7.1
San Jose St,-7.1,-7.1
Rice,-7.3,-7.3
UTSA,-7.3,-7.3
Florida Atlantic,-7.4,-7.4
San Diego St,-7.8,-7.8
Arkansas St,-7.9,-7.9
Toledo,-7.9,-7.9
Southern Miss,-8.0,-8.0
UAB,-8.2,-8.2
UConn,-8.4,-8.4
W Kentucky,-8.4,-8.4
Louisiana,-8.4,-8.4
New Mexico,-8.4,-8.4
Georgia So,-8.8,-8.8
Tulsa,-8.9,-8.9
S Florida,-9.1,-9.1
UNLV,-9.1,-9.1
UL Monroe,-9.5,-9.5
Air Force,-9.7,-9.7
UTEP,-10.0,-10.0
Miami OH,-10.8,-10.8
Bowling Green,-11.0,-11.0
Florida Intl,-11.1,-11.1
N Texas,-11.1,-11.1
W Michigan,-11.2,-11.2
S Alabama,-11.2,-11.2
UMass,-11.2,-11.2
Old Dominion,-11.3,-11.3
Kent St,-11.6,-11.6
N Illinois,-11.7,-11.7
C Michigan,-12.3,-12.3
Ball St,-12.3,-12.3
Akron,-12.4,-12.4
Army,-12.5,-12.5
Ohio,-12.5,-12.5
Texas St,-12.8,-12.8
Marshall,-13.1,-13.1
Idaho,-13.5,-13.5
App State,-13.8,-13.8
E Michigan,-15.2,-15.2
Troy,-15.6,-15.6
Georgia St,-15.6,-15.6
Buffalo,-16.9,-16.9
New Mexico St,-17.3,-17.3
